,name,ingredients,cuisine
0,Mini pork pies with piccalilli,"few dots of butter 600g shortcrust pastry , bought or homemade little flour , for dusting 85g dried white breadcrumb 400g good Cumberland sausage (about 6) 200g smoked bacon lardon ¼ tsp each ground mace, ground pepper and dried sage 1 egg , beaten with a fork few pinches  sesame seeds piccalilli , homemade or bought, to serve",british-recipes
1,Herby toad in the hole,140g plain flour 3 eggs 300ml milk 2 tsp Dijon mustard 2 tbsp vegetable oil 8 Cumberland sausages 8 sage leaves 4 rosemary sprigs,british-recipes
2,Crispy topped Cumberland pie,"2 celery sticks, sliced into 1cm pieces 1 onion , chopped 2 really big  carrots , halved lengthways then chunkily sliced 5 bay leaves 3 thyme sprigs 2 tbsp vegetable oil 1 tbsp butter 2 tbsp each plain flour,  tomato purée and Worcestershire sauce 2 beef stock cubes , crumbled 850g feather blade  beef , or other braising cut, cut into large chunks 850g large potato 25g each mature cheddar and  parmesan , finely grated",british-recipes
3,Cherry & almond tarts,"375g pack all-butter puff pastry 75g self-raising flour , plus extra for dusting 12 rounded tsp morello cherry jam 75g plain sponge or madeira cake 100g butter , softened 75g ground almond 75g golden caster sugar 2 medium eggs ½ tsp almond extract 25g flaked almond 100g icing sugar , sieved to decorate",british-recipes
4,Classic summer pudding,"300g raspberry , plus a few extra to serve 225g blackberry , plus a few extra to serve 100g redcurrant , plus a few extra to serve 400g strawberry , hulled and quartered 140g golden caster sugar , plus a bit extra (optional) 400g brioche loaf clotted cream , to serve (optional)",british-recipes
5,Roast beef with caramelised onion gravy,1 tbsp black peppercorn 1 tbsp English mustard powder 1 tbsp dried thyme 1 tsp celery seeds 1 tbsp olive oil about 2kg/4lb 8oz topside joint of  beef 4 tbsp plain flour 2 beef stock cubes 3 tbsp caramelised onion chutney or  marmalade 2-3 tsp Marmite,british-recipes
6,Roast lamb with spring herb crumbs,"100g good-quality white bread 2 garlic cloves zest 1  lemon 1 tsp thyme leaf , chopped small bunch parsley , chopped 3-4  anchovy fillets, chopped (optional) 5 carrots , cut into chunks 2 onions , cut into chunks 4 bay leaves small bunch rosemary 2 tbsp olive oil large leg of  lamb , about 3kg/6lb 8oz 3 garlic cloves , thickly sliced, plus a whole bulb, halved 5 tbsp plain flour 200ml white wine , plus a splash 600ml lamb stock",british-recipes
7,No-fail Yorkies,450ml milk 4 large eggs 250g plain flour 2 tbsp sunflower or  vegetable oil,british-recipes
8,St Clement’s pie,"250g light digestive biscuit 100g cornflake 85g butter , melted 140g caster sugar 1 large egg , plus 4 large egg yolks 397g can light condensed milk zest and juice 3 lemons zest and juice 2 oranges 150ml pot extra-thick double cream 100g 0% fat  Greek yogurt 4 tbsp icing sugar more lemon and orange zest, to decorate",british-recipes
9,"Beef, ale & parsnip pudding","1 large  onion , chopped 100g smoked bacon lardons 2 tbsp olive oil 500g lean stewing beef , cubed 2 tbsp plain flour 3 parsnips , cubed 500ml brown ale 300ml beef stock 2 tbsp cranberry or  redcurrant jelly 4 thyme sprigs greens , to serve (optional) butter , for greasing 300g self-raising flour , plus extra for dusting 2 tsp English mustard powder 140g shredded suet",british-recipes
10,Scampi with tartare sauce,"15-20 langoustine or Dublin Bay prawn tails vegetable or  sunflower oil , for frying 140g plain flour 85g cornflour 150ml beer 100ml sparkling water lemon wedges and  chips , to serve 6 tbsp mayonnaise 1 gherkin or 6 cornichons, finely chopped 1 tbsp caper , rinsed and chopped 1 tsp lemon juice 1 tbsp chopped parsley 2 tsp chopped tarragon",british-recipes
11,Easy treacle sponge,"250g golden syrup zest 1 lemon, plus juice ½ lemon 5 tbsp breadcrumb 200g pack butter, softened 200g golden caster sugar 3 medium eggs 200g self-raising flour 5 tbsp milk",british-recipes
12,Scotch eggs,"12 large eggs 800g good-quality Cumberland or Lincolnshire sausages , skinned 5 tbsp curly parsley , finely chopped 2 tsp Worcestershire sauce 2 tsp English mustard powder 2 tsp ground mace 12 rashers smoked streaky bacon 85g plain flour 140-200g/5-7oz dried breadcrumbs about 1 litre/1¾ pints sunflower or vegetable oil , for frying scraps of bread , for testing oil",british-recipes
13,"Rhubarb, pear & hazelnut crumbles","25g butter 3 pears , cored and halved 500g rhubarb , cut into chunks 2 tbsp soft light brown sugar ½ tsp ground cinnamon ¼ tsp ground cloves vanilla ice cream or double cream , to serve 50g roasted  hazelnut 50g cold butter , diced 85g self-raising flour 1 tsp ground cinnamon 50g demerara sugar",british-recipes
14,Lemon & thyme butter-basted roast chicken & gravy,"50g butter , softened bunch fresh thyme or lemon thyme, leaves picked, stalks reserved, plus extra to serve 4 garlic cloves , 1 mashed, the other 3 left whole but squashed 2 lemons , halved 1 chicken , about 1.5kg  2 carrots , roughly chopped 1 onion , roughly chopped 2 bay leaves 1 tbsp plain flour 250ml chicken stock splash soy sauce (optional)",british-recipes
