,name,ingredients,cuisine
0,Rum punch,"175ml freshly squeezed orange juice 75ml freshly squeezed lime juice 150ml good-quality golden rum 50ml sugar syrup dash of grenadine syrup dash of Angostura bitters ice cubes, to serve generous pinch of freshly grated nutmeg 2 thick slices orange, to garnish maraschino cherries, to garnish",caribbean-recipes
1,Caribbean beef patties,"drizzle of oil 1 small onion , finely chopped 2 garlic cloves , crushed 250g beef mince 1 potato , cut into 1cm/0.5in cubes 2 tsp turmeric 2 tbsp tomato purée few thyme sprigs 2 tbsp hot pepper sauce 500g block shortcrust pastry 1 egg , beaten green salad , to serve",caribbean-recipes
2,Sticky jerk salmon with mango slaw,"2 heaped tbsp Jamaican jerk paste 2 tbsp clear honey 4 salmon fillets juice 2  limes ½ red cabbage , core removed, thinly sliced 1 firm but ripe mango , skin removed, thinly sliced 1 red pepper , thinly sliced 6 spring onions , thinly sliced on an angle small bunch coriander , leaves picked",caribbean-recipes
3,Jerk chicken with rice & peas,"12 chicken thighs, bone in 1 lime, halved hot sauce, to serve (optional) 1 big bunch   spring onions, roughly chopped thumb-sized piece ginger, roughly chopped 3 garlic cloves ½ a small onion 3 scotch bonnet chillies, deseeded if you want less heat ½ tsp dried thyme, or 1 tbsp thyme leaves 1 lime, juiced 2 tbsp soy sauce 2 tbsp vegetable oil 3 tbsp brown sugar 1 tbsp ground allspice 200g basmati rice 400g can   coconut milk 1 bunch spring onions, sliced 2 large thyme sprigs 2 garlic cloves, finely chopped 1 tsp ground allspice 2 x 410g cans kidney beans, drained ",caribbean-recipes
4,Jerk sweet potato & black bean curry,"2 onions, 1 diced, 1 roughly chopped 2 tbsp sunflower oil 50g ginger, roughly chopped small bunch coriander, leaves and stalks separated 3 tbsp jerk seasoning 2 thyme sprigs 400g can chopped tomato 4 tbsp red wine vinegar 3 tbsp demerara sugar 2 vegetable stock cubes, crumbled 1kg sweet potato, peeled and cut into chunks 2 x 400g cans black beans, rinsed and drained 450g jar roasted red pepper, cut into thick slices",caribbean-recipes
5,Goat curry,"1 large onion, roughly chopped 10 garlic cloves 100g ginger, chopped 100ml vegetable oil 2 scotch bonnet chillies, chopped small handful curry leaves 3 thyme sprigs 4 tbsp mild curry powder 700g mutton or goat shoulder, diced 400g can chopped tomato 300ml lamb or beef stock 410g can pinto, kidney or black-eyed beans juice ½ lemon small bunch coriander, chopped warmed roti (Jamaican flatbread) and rice, to serve",caribbean-recipes
6,Jerk beefburger with pineapple relish & chips,"4 very large potatoes 1 tbsp vegetable oil 1 red onion , ½ grated and ½ finely chopped 1 carrot , grated 400g/ 14oz beef mince 2 tsp jerk seasoning (we used Bart) 200g/7oz fresh pineapple (we used pre-cut packet), finely chopped 1 red chilli , deseeded and finely chopped small handful coriander , roughly chopped juice 1  lime lettuce and burger buns , to serve",caribbean-recipes
7,Spiced glazed pineapple with cinnamon fromage frais,"zest and juice 1 lime 2 tbsp clear honey 2 pinches ground cinnamon few gratings whole nutmeg 2 tsp icing sugar , sifted 200g very low-fat fromage frais 2 tsp butter 1 fresh pineapple , cut into 8 long wedges, skin and core removed",caribbean-recipes
8,Tropical breakfast smoothie,"3 passion fruits 1 banana , chopped 1small mango , peeled, stoned and chopped 300ml orange juice ice cubes",caribbean-recipes
9,Jerk chicken kebabs with mango salsa,"2 tsp jerk seasoning (we used Bart) 1 tbsp olive oil juice 1 lime 4 skinless chicken breasts , chopped into chunks 1 large yellow pepper , cut into 2cm cubes 100g bag rocket leaves, to serve 320g pack mango chunks, diced 1 large red pepper , deseeded and diced bunch spring onions , finely chopped 1 red chilli , chopped (optional)",caribbean-recipes
10,Reggae reggae nachos,"2 tsp olive oil 1 red onion , diced ½ Scotch bonnet chilli , deseeded and finely chopped 400g can chopped tomato ½ x 295g bottle Levi Roots Love Apple Tomato sauce or  tomato sauce with a good splash Tabasco ½ tsp allspice 2 x bags tortilla chip 200g jar sliced jalapeno chilli 2 x  balls mozzarella , torn small handful coriander , chopped 230g tub fresh guacamole ½ x 300ml pot soured cream",caribbean-recipes
11,Simple coconut & bean soup,"1 tbsp sunflower oil ½ bunch spring onions , whites and greens separated and sliced 1 red pepper , diced 1 Scotch bonnet chilli , deseeded and pounded to a paste 1 garlic clove , chopped 1 tsp dried thyme 1 tsp medium curry powder 1 tsp allspice 3 plum tomatoes , chopped 1 vegetable stock cube 410g can kidney bean , rinsed and drained 410g can pinto bean , rinsed and drained 410g can black-eyed bean , rinsed and drained 2 x cans coconut milk juice 2 limes",caribbean-recipes
12,Natalie's Trinidadian fish stew,"2 limes , juice and grated zest of 1, the other halved for serving 1 skinned white  fish fillets, such as cod or hoki, about 175-200g/6-8oz each 2 lemons , juice only 2 x 15g packets fresh  thyme (you need a lot for the aroma) ¼ tsp white  pepper 1 tbsp dark rum 3 tbsp vegetable oil 1 onion , cut into thin rings a handful of fresh  coriander , chopped 2 garlic cloves , chopped 1 beefsteak or 3 normal  tomatoes , sliced 2 tsp dark  muscovado sugar shake of  Angostura bitters , optional basmati rice or boiled potatoes and steamed vegetables, to serve",caribbean-recipes
13,Hot & spicy sweet potatoes,"2 large  sweet potatoes  (about 500g/1lb 4oz each) 4 tbsp  olive oil 2 tbsp fresh  thyme  leaves, plus 2 sprigs of fresh thyme 1 red scotch bonnet  chilli , seeded and finely chopped",caribbean-recipes
14,Barbecued plantains,2 ripe plantains  - the skins must be black 2 tbsp  butter 2 tbsp  demerara sugar 8 tbsp freshly squeezed orange juice,caribbean-recipes
15,Jerk pork with rice & beans,"1 tbsp olive oil 3 tbsp Jamaican jerk sauce 4  small boneless pork loin steaks  about 500g/1lb 2oz in total 1 chicken stock cube 50g creamed coconut  (from a block) 1 bunch salad onions 2 x  packets Rizzazz pure basmati rice  (ready cooked rice in a vacuum-pack) 410g  can red kidney beans , drained",caribbean-recipes
16,Sizzling spare ribs with BBQ sauce,"4 x 500g packs   pork  spare ribs 1 bunch of  spring onions , roughly chopped (green stems and all) 1 Scotch bonnet  chilli , seeded and finely chopped 4 garlic cloves , roughly chopped 6 tbsp Appleton rum 6 tbsp demerara sugar 6 tbsp dark soy sauce 6 tbsp  clear honey 6 tsp Dijon mustard 1 tsp ground allspice",caribbean-recipes
17,Exotic avocado salad,2 tbsp  pumpkin seeds 1 ripe papaya 1 ripe avocado 50g bag trimmed and washed watercress half small pack fresh mint juice of half lime 1 tbsp  olive oil,caribbean-recipes
