,name,ingredients,cuisine
0,Sweet & sour chicken,"sunflower or vegetable oil , for frying 100ml soda water , chilled 140g self-raising flour 25g cornflour 4 skinless, boneless chicken breasts , cut into chunks spring onions , finely shredded, to serve 1 red pepper , deseeded and chopped into chunks 3 red chillies , 1 cut into chunks, 2 halved and deseeded 425g can pineapple chunks, drained and juice reserved 4 star anise 50g tamarind paste 100g caster sugar 100ml rice wine vinegar or Chinese vinegar",chinese-recipes
1,Singapore noodles with prawns,"2 nests thin vermicelli rice noodles 1 tbsp light soy sauce 1 tbsp oyster sauce 2 tsp mild curry powder 1 tbsp sesame oil 1 garlic clove , chopped 1 red chilli , thinly sliced (deseeded if you don't like it too hot) thumb-sized piece ginger , grated 1 medium onion , sliced 1 red pepper or yellow pepper, cut into thin batons 4 spring onions , cut in half lengthways then into batons 8 raw king prawns 1 large egg , beaten coriander leaves, to serve",chinese-recipes
2,Egg-fried rice,"250g long grain rice 3 tbsp vegetable oil 1 onion, finely chopped 4 eggs, beaten 2 spring onions, sliced, to serve",chinese-recipes
3,Sichuan chicken wings,800g chicken wings 1 tbsp baking powder 1½ tsp Sichuan peppercorns 1½ tsp chilli flakes 3 tbsp Shaoxing wine 1½ tbsp garlic and ginger paste 3 tbsp dark soy sauce 3 tbsp light soy sauce 1½ tsp sesame oil 3 tbsp palm sugar chopped peanuts chilli flakes,chinese-recipes
4,Salt & pepper tofu,"396g pack firm tofu 2 tbsp cornflour 1 tsp Sichuan or black peppercorns  (or a mixture of the two), ground to a powder 2 tbsp sunflower or vegetable oil 2 red peppers , sliced ¼ broccoli head, cut into very small florets 100g beansprouts 2 tsp low-salt soy sauce sesame oil , for drizzling handful of coriander , leaves picked",chinese-recipes
5,Asian greens,"1 tbsp vegetable oil 2 tbsp oyster sauce 350g mixed Asian greens such as pak choi ,  choy sum or tatsoi",chinese-recipes
6,"Honey, sesame & orange king prawns","2 tsp sesame oil 1 large orange , zested and juiced 3 tbsp honey 2 tbsp low-salt soy sauce 1 tbsp rice vinegar 3 tbsp cornflour 2 tbsp sesame seeds generous pinch of Chinese five-spice powder 300g raw king prawns 3 tbsp sunflower or vegetable oil 1 garlic clove , thinly sliced 2 spring onions , sliced 200g long-grain rice , cooked, to serve",chinese-recipes
7,Spicy Sichuan-style prawns,"1 ½ tbsp groundnut oil 2cm piece ginger , finely chopped 2 garlic cloves , coarsely chopped 1 spring onion , finely chopped 450g raw prawns , shelled and de-veined 1 tbsp tomato purée 3 tsp chilli bean sauce 2 tsp Chinese black vinegar or cider vinegar 2 tsp golden caster sugar 2 tsp sesame oil handful coriander leaves, to serve sliced spring onion , to serve",chinese-recipes
8,Chow mein,"225g dried or fresh egg noodles 1 tbsp sesame oil, plus 1 tsp 100g boneless, skinless chicken breasts, cut into fine shreds 2½ tbsp groundnut oil 2 garlic cloves, finely chopped 50g mangetout, finely shredded 50g prosciutto or cooked ham, finely shredded 2 tsp light soy sauce 2 tsp dark soy sauce 1 tbsp Shaohsing rice wine or dry sherry ½ tsp freshly ground white pepper ½ tsp golden caster sugar 2 spring onions, finely chopped 2 tsp light soy sauce 2 tsp Shaoxing rice wine or dry Sherry 1 tsp sesame oil ½ tsp freshly ground white pepper",chinese-recipes
9,Cashew chicken,"450g boneless, skinless chicken breasts , cut into large chunks 1 egg white 1 tsp sesame oil 2 tsp cornflour 300ml groundnut oil or water, plus 2 tsp groundnut oil 100g cashew nuts 1 tbsp Shaoxing rice wine or dry Sherry 1 tbsp light soy sauce 1 shredded spring onion , to garnish",chinese-recipes
