,Ingredients,Cuisine
0,chicken thighs drumsticks sea salt flakes soft dark brown sugar chilli flakes sweet smoked paprika ground cumin sea salt flakes dark brown sugar butter hot chilli sauce maple syrup,1
1,chicken beef short ribs ribs separated piece boned pork shoulder rind removed texas barbecue sauce sweet white onions gherkins goodquality flaky sea salt fennel seeds black peppercorns bay leaves cayenne pepper smoked paprika garlic salt soft light brown sugar golden caster sugar wood chips,1
2,unsalted butter softened golden caster sugar egg yolks lightly beaten plain flour extra dusting pecans toasted eggs golden caster sugar golden syrup unsalted butter melted sea salt extra sprinkling vanilla extract bourbon whisky double cream maple syrup,1
3,whole chicken jointed bonein chicken pieces used legs breasts thighs wings sea salt smoked paprika garlic granules runny honey cider vinegar light brown soft sugar american mustard,1
4,macaroni whole milk bay leaves butter plain flour dijon mustard thyme leaves porcini white truffle paste truffle oil porcini powder dried porcini mushrooms blitzed powder food processor taleggio cheese ball mozzarella mature cheddar grated fresh breadcrumbs parmesan grated,1
5,milk chocolate fullfat milk mini marshmallows digestive biscuits strawberries washed hulled pineapple chunks skewers,1
6,vegetable oil onion garlic cloves crushed smoked paprika cayenne pepper green pepper x tomatoes chicken vegetable stock bay leaf spring onions trimmed,1
7,skinless chicken breasts olive oil rashers smoked bacon avocados ciabatta rolls split thin slices favourite cheese handfuls baby spinach leaves mayonnaise ground cumin ground coriander paprika,1
8,coarse bread sourdough crusts removed fullfat milk olive oil corn cobs ripe avocados lime juiced spring onions trimmed diagonal use purple ones add colour find tomatoes mixture colours sizes good horizontally halved mayonnaise level dijon mustard garlic clove grated chives buttermilk,1
9,distilled malt vinegar golden caster sugar onions cut rings oil deepfrying plain flour cayenne pepper ground coriander smoked paprika cornflour plain flour bicarbonate soda lager,1
10,whole chicken wings olive oil celery sticks cut sticks keep leaves bunch french breakfast radishes leaves get tomato ketchup cider vinegar bourbon dark brown sugar hot chilli sauce worcestershire sauce ground cumin ground coriander ground paprika butter gorgonzola soured cream mayonnaise good squeeze lemon juice,1
11,sunflower oil deepfrying bunch coriander leaves picked lemon zested cut wedges buttermilk garlic granules ground ginger jumbo raw prawns head left tails peeled butterflied plain flour cornflour cayenne pepper dried thyme ground coriander cornflakes crushed fine crumbs,1
