,name,ingredients,cuisine
0,Buffalo chicken,1 ½kg chicken thighs and drumsticks 180g sea salt flakes 90g soft dark brown sugar 2 tbsp chilli flakes 2 tbsp sweet smoked paprika 1 tbsp ground cumin 1 tbsp sea salt flakes 1 tbsp dark brown sugar 75g butter 125ml hot chilli sauce 1 tbsp maple syrup,american-recipes
1,Texas BBQ medley,"1 large chicken 5 beef short ribs (about 3kg), ribs separated 2kg piece boned pork shoulder , rind removed Texas barbecue sauce sliced sweet white onions  and sliced gherkins, to serve 8 tbsp good-quality flaky sea salt 2 tsp fennel seeds 1 tbsp black peppercorns 3 bay leaves 2 tsp cayenne pepper 1 tbsp smoked paprika 2 tsp garlic salt 150g soft light brown sugar 50g golden caster sugar wood chips (optional)",american-recipes
2,Pecan pie with maple cream,"150g unsalted butter , softened 80g golden caster sugar 2 large egg yolks , lightly beaten 250g plain flour , plus extra for dusting 250g pecans , toasted 3 large  eggs 55g golden caster sugar 100g golden syrup 50g unsalted butter , melted ½ tsp sea salt , plus extra for sprinkling 1 tbsp vanilla extract 1 tbsp bourbon whisky (optional) 300ml double cream 3 tbsp maple syrup",american-recipes
3,BBQ chicken platter,"1 whole chicken , jointed, or 8 bone-in chicken pieces (we used legs, breasts, thighs and wings) 1 tsp sea salt 1 tbsp smoked paprika 1 tsp garlic granules 2 tbsp runny  honey 2 tbsp cider vinegar 2 tbsp light brown soft sugar 200g American mustard",american-recipes
4,Truffled mac 'n' cheese,"500g macaroni 1l whole milk 2 bay leaves 60g butter 60g plain flour 2 tbsp Dijon mustard 2 tbsp roughly chopped thyme leaves 80g porcini white truffle paste or 2 tbsp truffle oil 1 tbsp porcini powder (or dried porcini mushrooms blitzed to a powder in a food processor) 80g taleggio cheese , chopped 125g ball of mozzarella , chopped 100g mature cheddar , grated 30g fresh breadcrumbs 30g parmesan , finely grated",american-recipes
5,S'mores dip,"200g milk chocolate 2 tbsp full-fat milk 350g mini marshmallows 100g digestive biscuits 100g strawberries , washed and hulled 100g pineapple chunks skewers",american-recipes
6,Hot gumbo dip,"2 tbsp vegetable oil 1 large onion , chopped 4 garlic cloves , crushed 1 tsp smoked paprika ½ tsp cayenne pepper 1 green pepper , finely chopped ½ x 400g can chopped tomatoes 100ml chicken or vegetable stock 1 bay leaf 4 spring onions , trimmed and sliced",american-recipes
7,Fully loaded Cajun chicken burgers,"4 skinless chicken breasts 2 tbsp olive oil 4 rashers smoked bacon 2 avocados 4 ciabatta rolls, split 4 thin slices of your favourite cheese 4 small handfuls baby spinach leaves mayonnaise , to serve (optional) 1 tbsp ground cumin 1 tbsp ground coriander 1 tbsp paprika",american-recipes
8,"Tomato, avocado & corn salad with migas & buttermilk dressing","125g coarse bread , such as sourdough (crusts removed) 2 tbsp full-fat milk 2 ½ tbsp olive oil 2 corn cobs 2 ripe, large avocados 1 large lime , juiced 2 spring onions , trimmed and sliced on the diagonal (use purple ones to add colour if you can find them) 600g tomatoes (a mixture of colours and sizes is good), sliced horizontally, or halved if they’re small 115g mayonnaise 1 level tsp Dijon mustard ½ small garlic clove , grated 5g chives , finely chopped 125ml buttermilk",american-recipes
9,Easy pickled onion rings,"175ml distilled malt vinegar 75g golden caster sugar 2 large onions , cut into 1cm-thick rings oil , for deep-frying 100g plain flour ½ tsp cayenne pepper ½ tsp  ground coriander smoked paprika , to serve 100g cornflour 100g plain flour ½ tsp bicarbonate of soda 300ml lager",american-recipes
