,name,ingredients,cuisine
0,Steamed sea bass with black bean sauce,"1 sea bass , head on, gutted 2cm piece ginger , thinly sliced 2 tbsp Shaohsing rice wine cooked jasmine rice , to serve 1 tbsp groundnut oil 2 garlic cloves 2 tbsp grated ginger 2 tbsp fermented black beans , rinsed and crushed with the back of a spoon (or use 100g black bean sauce instead) 1 tbsp Shaohsing rice wine 3 tbsp toasted sesame oil 3 tbsp light soy sauce 2 spring onions , shredded 1 small handful coriander , leaves picked",chinese-recipes
1,Braised pork with plums,"about 1.6kg/3lb 8oz pork shoulder 5 tbsp rice wine 5 tbsp light soy sauce for flavour, 1 tbsp dark for colour generous thumb-size piece fresh  root ginger 5 garlic cloves 1 red chilli , deseeded and finely chopped 2 tbsp vegetable oil bunch spring onions , finely sliced 2 star anise 1 ½ tsp five-spice powder 1 cinnamon stick 2 tbsp sugar , any type 1 tbsp tomato purée 500ml chicken stock 6 ripe plums , halved and stoned",chinese-recipes
2,Red braised ginger pork belly with pickled chillies,"2 ½kg pork belly , rind removed, cut into 5cm pieces 1 tbsp dark soy sauce 200ml Shaohsing rice wine 2 tbsp vegetable oil 2 garlic cloves , thinly sliced thumb-sized piece  ginger , cut into matchsticks pinch of  chilli flakes 100ml Chinese black  vinegar (available from Waitrose) 140g soft  brown sugar 700ml vegetable stock toasted  sesame seeds sliced  spring onions 2 red chillies , sliced and soaked in rice wine vinegar for 1 hr, then drained steamed white rice",chinese-recipes
3,Chinese chicken curry,"4 skinless chicken breasts, cut into chunks (or use thighs or drumsticks) 2 tsp cornflour 1 onion, diced 2 tbsp rapeseed oil 1 garlic clove, crushed 2 tsp curry powder 1 tsp turmeric ½ tsp ground ginger pinch sugar 400ml chicken stock 1 tsp soy sauce handful frozen peas rice to serve",chinese-recipes
0,Sweet & sour chicken,"sunflower or vegetable oil , for frying 100ml soda water , chilled 140g self-raising flour 25g cornflour 4 skinless, boneless chicken breasts , cut into chunks spring onions , finely shredded, to serve 1 red pepper , deseeded and chopped into chunks 3 red chillies , 1 cut into chunks, 2 halved and deseeded 425g can pineapple chunks, drained and juice reserved 4 star anise 50g tamarind paste 100g caster sugar 100ml rice wine vinegar or Chinese vinegar",chinese-recipes
1,Singapore noodles with prawns,"2 nests thin vermicelli rice noodles 1 tbsp light soy sauce 1 tbsp oyster sauce 2 tsp mild curry powder 1 tbsp sesame oil 1 garlic clove , chopped 1 red chilli , thinly sliced (deseeded if you don't like it too hot) thumb-sized piece ginger , grated 1 medium onion , sliced 1 red pepper or yellow pepper, cut into thin batons 4 spring onions , cut in half lengthways then into batons 8 raw king prawns 1 large egg , beaten coriander leaves, to serve",chinese-recipes
2,Egg-fried rice,"250g long grain rice 3 tbsp vegetable oil 1 onion, finely chopped 4 eggs, beaten 2 spring onions, sliced, to serve",chinese-recipes
3,Sichuan chicken wings,800g chicken wings 1 tbsp baking powder 1½ tsp Sichuan peppercorns 1½ tsp chilli flakes 3 tbsp Shaoxing wine 1½ tbsp garlic and ginger paste 3 tbsp dark soy sauce 3 tbsp light soy sauce 1½ tsp sesame oil 3 tbsp palm sugar chopped peanuts chilli flakes,chinese-recipes
4,Salt & pepper tofu,"396g pack firm tofu 2 tbsp cornflour 1 tsp Sichuan or black peppercorns  (or a mixture of the two), ground to a powder 2 tbsp sunflower or vegetable oil 2 red peppers , sliced ¼ broccoli head, cut into very small florets 100g beansprouts 2 tsp low-salt soy sauce sesame oil , for drizzling handful of coriander , leaves picked",chinese-recipes
5,Asian greens,"1 tbsp vegetable oil 2 tbsp oyster sauce 350g mixed Asian greens such as pak choi ,  choy sum or tatsoi",chinese-recipes
