,name,ingredients,cuisine
0,Smoked salmon soufflés,"40g butter 25g plain flour 300ml milk 85g Philadelphia cheese 2 tsp chopped dill 3 large eggs, separated 85g smoked salmon, chopped zest ½ lemon 6 tsp crème fraîche 2 large slices smoked salmon dill sprigs",french-recipes
1,Lighter Cassoulet,"500g dried haricot beans 7 garlic cloves 5 thyme sprigs 3 rosemary sprigs 200g smoked gammon steak, rind and fat removed 1 bay leaf 1 tbsp rapeseed oil 1 medium onion , chopped 1 large carrot (200g total weight), chopped into 1cm pieces 2 tsp butter 500g pork shoulder , diced into 4-5cm pieces, any excess fat trimmed 125ml white wine 230g can plum tomatoes 3 Toulouse  sausages 25g panko or coarse dried breadcrumbs 1 garlic clove , finely chopped 1 tsp finely grated  lemon zest 2 tsp rapeseed oil",french-recipes
2,Raspberry macarons,4 large egg whites 300g icing sugar pink or red food colouring 140g ground almonds ½ a 250g tub mascarpone 4-5 tbsp raspberry jam,french-recipes
0,Tomato & caramelised onion tart tatin,"50g butter 1 tbsp olive oil 1  large onion , cut into thin wedges 1 tsp sugar 85g butter 175g self-raising flour 50g parmesan , finely grated small handful  fresh thyme leaves 1 large free range egg  yolk 25g butter 1 tbsp olive oil 1 tsp sugar 1  fat garlic clove , thinly sliced 5 plum tomatoes , halved lengthways several sprigs of thyme 300g  pkt cherry tomatoes",french-recipes
1,Sautéed potatoes with bacon lardons & persillade,"1kg potatoes , cut into 2cm/3/4in pieces 2 tbsp rapeseed oil 300g smoked bacon lardons 25g unsalted butter small pack flat-leaf parsley , chopped 2 tsp chopped chervil 1 tarragon sprig, leaves chopped 1 banana shallot , finely chopped 2 garlic cloves , crushed",french-recipes
2,Lighter crème brûlée,4 tbsp golden caster sugar 1 tbsp custard powder 1 tbsp cornflour 200ml semi-skimmed milk 2 large egg yolks 125ml single cream 1 vanilla pod 140g half-fat crème fraîche,french-recipes
3,Apricot French toast,"50g butter 6 apricots , halved and stoned 200g/8oz caramel sauce (we used Bonne Maman confiture de caramel) 350g ready-made vanilla custard 8 small, thick slices brioche or white bread, or 4 large slices, cut diagonally",french-recipes
4,Chinon apple tarts,"375ml red wine , such as Chinon 200g jam sugar 1 star anise 1 clove 2.5cm piece cinnamon stick pinch of allspice ½ split vanilla pod , seeds scraped out 320g pack ready-rolled all-butter puff pastry 4 tbsp light brown soft sugar 2-3 eating apples (I used Pink Lady) 3 tbsp red wine jelly (see above recipe) 100ml crème fraîche 1 tbsp icing sugar 3 cardamom pods , pods discarded and seeds ground",french-recipes
5,Raymond Blanc's cassoulet,"140g pork rind 140g smoked streaky bacon 300g garlic sausage 600g dried haricot bean, soaked overnight in 3 times their volume of  water 1 celery stick 1 small onion, preferably a white skinned mild one 1 large carrot 6 garlic cloves 2 ripe plum tomatoes 25g goose fat or 2 tbsp olive oil 1 bouquet garni 8 pinches of sea salt 2 pinches of freshly ground black pepper 1 clove, lightly crushed 2 tsp lemon juice 4 confit ducks legs 60g goose fat or 2 tbsp olive oil 40g dried breadcrumb 1 garlic clove, finely chopped a handful of fresh flatleaf parsley, coarsely chopped",french-recipes
6,Next level ratatouille,"3 red peppers , each quartered and deseeded handful basil , leaves and stalks separated large thyme sprig 2 tbsp olive oil , plus extra for frying and drizzling 2 courgettes (different colours are good), roughly chopped 1 aubergine , chopped into large chunks 1 red onion , roughly chopped 4 garlic cloves , sliced pinch sugar 1 tbsp red wine vinegar 2 x 400g cans cherry tomatoes 1 tbsp extra virgin olive oil griddled sourdough , to serve",french-recipes
7,Pear tarte tatin,8 pears 100g caster sugar 100g butter 2 star anise 3 cardamom pods 1 large cinnamon stick 2 tbsp brandy 500g block all-butter puff pastry,french-recipes
8,Hot chocolate soufflés with chocolate cream sauce,"142ml pot  single cream 25g caster sugar 100g dark chocolate  (70% cocoa), broken into pieces 25g butter melted butter , for greasing 50g caster sugar , plus 2 tbsp extra 175g dark chocolate  (70% cocoa), broken into pieces 2 tbsp double cream 4 egg yolks 5 egg whites icing sugar , to serve",french-recipes
9,Summer fish stew with rouille,"6 large, raw, shell-on prawns 3 tbsp mild olive oil 150ml dry white wine 200ml fish stock (a cube is fine) 1 small fennel bulb (about 140g/5oz) halved and thinly sliced 1 small onion , thinly sliced 3 garlic cloves , thinly sliced 1 large potato , about 200g/8oz (I used King Edward) 1 orange 1 star anise 1 bay leaf 1½ tsp harissa paste (I used Belazu) 2 tbsp tomato purée 400g can chopped tomatoes handful mussels or clams 200g skinless, sustainably-caught white fish (I used cod loin), cut into very chunky pieces few thyme leaves 3 tbsp bought olive oil mayonnaise good-quality crusty bread",french-recipes
10,Fennel Dauphinoise,"225g medium-sized potato , very thinly sliced  1 small fennel bulb , sliced, fronds reserved 1 garlic clove , finely chopped 75ml whole milk 100ml double cream butter , for ramekins 2 tbsp finely grated parmesan (or vegetarian alternative)",french-recipes
11,"One-pot pork with orange, olives & bay","85g sundried tomato in oil, roughly chopped, plus 2-3 tbsp oil from the jar 1kg pork shoulder , cut into chunky cubes 2 tbsp plain flour , seasoned 400g shallot (see tip, below) 1 onion , thinly sliced 3 bay leaves few  thyme sprigs 5 garlic cloves , thinly sliced 400ml red wine strip of zest and juice from 1  orange 350ml chicken stock 400g can chopped plum tomato 800g large  new potato , peeled & halved or cut into fat slices, depending on size 70g pack dry  black olive",french-recipes
12,Chicken Marengo,"1 tbsp olive oil 300g pack cup mushroom , halved 4 chicken legs , skin removed 500g jar garlic & herb passata 1 chicken stock cube 100g pitted black kalamata olive chopped  parsley , to serve (optional) pasta and a salad, or mash and green veg, to serve (optional)",french-recipes
13,Provençal omelette cake,"10 eggs 1 tbsp olive oil , plus extra for frying and drizzling 2 courgettes , finely chopped  3 spring onions , thinly sliced 4 roasted red peppers  from a jar, drained and finely chopped 1 garlic clove , crushed 1 red chilli , deseeded and finely chopped 300g soft cheese , such as light Philadelphia 5-6 tbsp milk 4 tbsp snipped  chive 2 tbsp chopped fresh basil rocket  leaves and shaved Parmesan (or vegetarian alternative), to serve",french-recipes
