,name,ingredients,cuisine
0,Greek island salad with chicken & avocado,"1.8kg roasted chicken, at room temperature 2 hearts romaine lettuces 4 tomatoes 3 spring onions 2 ripe avocados 3 tbsp lemon juice, plus extra for squeezing 200g packet feta cheese ½ tsp dried oregano ½ tsp dried mint half a bunch of flatleaf parsley 5 tbsp extra-virgin olive oil 2 tbsp black kalamata olives pitta bread, to serve (optional)",greek-recipes
1,Crispy Greek-style pie,"200g bag spinach leaves  175g jar sundried tomato in oil 100g feta cheese, crumbled 2 eggs 125g filo pastry",greek-recipes
2,Greek lamb tray bake,"50g fresh white breadcrumbs 250g lamb mince 1 egg , beaten 2 onions , halved large handful mint , chopped 2 large potatoes , cut into wedges 2 courgettes , cut into batons 12 cherry tomatoes 2 tbsp olive oil 50g feta cheese , crumbled",greek-recipes
3,Greek salad omelette,"10 eggs handful of  parsley  leaves, chopped (optional) 2 tbsp olive oil 1 large red  onion , cut into wedges 3 tomatoes , chopped into large chunks large handful black olives , (pitted are easier to eat) 100g feta cheese , crumbled",greek-recipes
4,Must-make moussaka,"500g pack  lean minced beef 1 large aubergine 150g pot 0% Greek yogurt 1 egg , beaten 3 tbsp parmesan , finely grated  400g can chopped tomato  with garlic and herbs 4 tbsp sun-dried  tomato purée 400g leftover boiled potato  (or 350g/12oz uncooked weight boiled)",greek-recipes
5,Greek-style lamb with lemon & thyme,"18 lamb cutlets or chops zest and juice 2 lemons few sprigs thyme , leaves stripped, plus extra to serve if you like 2 garlic cloves , crushed 200ml Greek yogurt houmous , pitta bread and a bag of salad leaves, to serve",greek-recipes
6,"Stuffed tomatoes with lamb mince, dill & rice","4 beef tomatoes pinch sugar 4 tbsp Greek extra virgin olive oil , plus extra to drizzle 1 Spanish onion , finely chopped 2 garlic cloves , finely chopped 200g minced lamb 1 tsp ground cinnamon 2 tbsp tomato purée 50g long grain rice 100ml chicken stock 4 tbsp chopped dill 2 tbsp chopped flat-leaf parsley 1 tbsp chopped mint",greek-recipes
7,Halloumi kebabs with thyme & lemon baste,"2 medium  courgettes 1 large red onion 250g low fat  halloumi cheese , cut into 16 chunks (we used Cypressa Halloumi Lite) 16 cherry tomatoes 1 tbsp  olive oil 2 tbsp  lemon  juice 2 tsp fresh thyme  leaves (preferably lemon thyme) 1 tsp  Dijon mustard pitta bread , to serve",greek-recipes
8,Lamb & feta burgers with minty yogurt,"500g lamb mince 2 tsp ground coriander 2 tsp cumin seeds 1 red chilli , deseeded and finely chopped handful parsley , chopped 2 rosemary sprigs, leaves stripped and chopped good splash Worcestershire sauce 1 egg , lightly beaten with a fork 100g feta cheese , cut into 16 cubes 1 tbsp sunflower oil 200ml natural yogurt small bunch mint , leaves chopped",greek-recipes
9,Spring greens spanakopita,"500g spring greens , finely shredded, stalks and all 150g butter 2 tbsp olive oil 2 large  leeks , halved, cleaned and finely sliced 4 garlic cloves , crushed small pack parsley , chopped small pack mint , chopped ½small pack dill , chopped ¼ nutmeg , finely grated 250g ricotta 100g pecorino , parmesan or vegetarian alternative, finely grated 2 eggs , beaten 1 lemon , zested 270g pack filo pastry 3 tbsp sesame seeds (we used a mixture of black and white)",greek-recipes
10,The ultimate makeover: Moussaka,"2½ tbsp olive oil 1 onion , chopped 2 plump garlic cloves , finely chopped 2 large carrots (350g total weight), diced 450g 5% fat minced beef 100ml white wine 1 tsp ground cinnamon , plus extra ¼ tsp ground allspice 400g can plum tomatoes 2 tbsp tomato purée 1heaped tbsp chopped oregano leaves 2 good handfuls chopped flat-leaf parsley , plus extra to garnish 3 aubergines (about 750g/1lb 10oz total weight), ends trimmed 1 tbsp lemon juice 2 eggs 1 tbsp cornflour 300g 2% Greek yogurt 50g parmesan , grated halved cherry tomatoes and thinly sliced red onion and rocket salad",greek-recipes
11,"Lamb, lemon & dill souvlaki","2 garlic cloves , finely chopped 2 tsp sea salt 4 tbsp olive oil zest and juice 1 lemon 1 tbsp finely chopped fresh dill 700g lean lamb such as neck fillet or boneless leg, trimmed, then cut into large chunks pitta bread or flatbread, to serve",greek-recipes
12,Herby baked lamb in tomato sauce,"1.8-2kg shoulder of lamb 2 tbsp olive oil 3 oregano sprigs, leaves stripped from 2 3 rosemary sprigs, leaves stripped from 2 3 garlic cloves , roughly chopped 600ml red wine 2 x 400g cans chopped tomatoes 1 tbsp caster sugar",greek-recipes
13,Greek salad,"4 large  vine tomatoes, cut into irregular wedges 1 cucumber, peeled, deseeded, then roughly chopped ½ a red onion thinly sliced 16 Kalamata olives 1 tsp dried oregano 85g feta cheese, cut into chunks (barrel matured feta is the best) 4 tbsp Greek extra virgin olive oil",greek-recipes
14,Warm honey cup puddings,"2 tbsp butter , melted, plus extra for greasing the cups 2 tsp clear honey , plus extra for drizzling 50g self-raising flour 25g ground almond 50g light muscovado sugar ¼ tsp bicarbonate of soda 1 egg 85g Greek yogurt (take this from the 500g tub for the ice cream, below) 1 tbsp pistachios , roughly chopped",greek-recipes
15,Watermelon & feta salad with crispbread,"½ a watermelon (about 1.5kg), peeled, deseeded and cut into chunks 200g block feta cheese , cubed large handful black olives handful flat-leaf parsley and mint leaves, roughly chopped 1 red onion , finely sliced into rings olive oil and balsamic vinegar, to serve ½ a 500g pack white bread mix 1 tbsp olive oil , plus a little extra for drizzling plain flour , for dusting 1 egg white , beaten a mix of sesame seeds , poppy seeds and fennel seeds, for scattering",greek-recipes
16,Feta-crusted lamb with rich tomato sauce,"7-or 8-bone rack of lamb , trimmed of fat, then cut into two racks few thyme sprigs, left whole, plus extra sprigs to serve 1 tbsp extra-virgin olive oil , plus extra for frying and drizzling zest ½ lemon 2 garlic cloves , crushed 1 tsp dried oregano 20g pack flat-leaf parsley 1 fat or 2 regular garlic cloves , crushed 400g can cherry tomatoes 50g feta cheese , finely crumbled zest ½ lemon pinch dried oregano ½ slice white bread (use day-old if you can), whizzed into crumbs",greek-recipes
17,Giant butter bean stew,"4 x 235g cans butter beans or 500g dried butter beans (cook according to pack instructions)  100ml Greek extra virgin olive oil 3 small red onions, finely sliced 2 large carrots, finely sliced 3 celery stalks with leaves, finely chopped 4 sundried tomatoes, sliced 1kg ripe tomatoes, skinned, deseeded and finely chopped 4 garlic cloves, chopped 1 tsp paprika 1 tsp ground cinnamon 2 tbsp tomato purée 1 tsp sugar small pack flat-leaf parsley, finely chopped small pack dill, finely chopped 100g feta (optional), crumbled",greek-recipes
18,Hob-to-table moussaka,"2 tbsp olive oil 1 large onion, finely chopped 2 garlic cloves, finely chopped 500g minced lamb 400g/14oz can chopped plum tomatoes 2 tbsp tomato purée 2 tsp ground cinnamon 200g/7oz jar chargrilled aubergines in olive oil, drained and chopped 200g/7oz pack feta cheese, crumbled 3 tbsp fresh mint, chopped",greek-recipes
19,Smoked salmon taramasalata,"100g smoked salmon 200g low-fat soft cheese 100g crème fraîche juice 1 lemon drizzle of  olive oil , to serve black kalamata olive and toasted pitta bread, to serve",greek-recipes
20,Mushroom stifado,"25g dried porcini mushrooms 100ml olive oil , plus extra for drizzling 500g pickling onions 1kg mixed mushrooms such as oyster, cep, chestnut, morel, Portobello 3 garlic cloves , finely chopped 125ml dry red wine 1 tbsp tomato purée 4 tbsp red wine vinegar 2 bay leaves 5 whole allspice berries 1 large or 2 small cinnamon sticks 4 whole cloves 1 tsp black peppercorns 2 tomatoes , peeled and finely chopped 75g Kalamata black olive , pitted and chopped 2 tsp Greek clear honey 3 tbsp chopped flat-leaf parsley 50g vegetarian kefalotyri/ pecorino , grated (optional) Horseradish mash (see 'Goes well with'), to serve",greek-recipes
0,Lamb kleftiko,"6 garlic cloves 3 tbsp roughly chopped oregano 1 tbsp roughly chopped rosemary zest 1 lemon and juice of 2 ½ tsp ground cinnamon 3 tbsp olive oil 2kg leg of lamb 1kg Desiree potato, halved or quartered 5 bay leaves 250g Greek yogurt juice ½ lemon 1 tbsp olive oil handful mint, shredded 1 ½ tsp red wine vinegar 1 ½ tbsp extra-virgin olive oil 100g baby spinach small bunch parsley, roughly chopped ½ red onion, finely sliced 175g cherry tomatoes, halved ½ cucumber, halved lengthways, deseeded and sliced 75g black Kalamata olives, stoned and quartered",greek-recipes
1,"Artichoke, aubergine & lamb moussaka","olive oil , for frying 1kg lamb mince 2 large onions , finely chopped 3 garlic cloves , chopped 2 x 395g cans cherry tomatoes  in thick juice 2 bay leaves 1 cinnamon stick ½ tsp dried oregano pinch of sugar 2 medium aubergines 700g large potatoes 2 x 390g cans artichoke hearts, drained really well (see tip) 100g butter 100g plain flour 900ml milk very generous grating of nutmeg 125g grated gruyère 25g grated parmesan 3 medium eggs, lightly beaten",greek-recipes
2,Greek-style roast fish,"5 small potatoes (about 400g), scrubbed and cut into wedges 1 onion, halved and sliced 2 garlic cloves, roughly chopped ½ tsp dried oregano or 1/2 tbsp chopped fresh oregano 2 tbsp olive oil ½ lemon, cut into wedges 2 large tomatoes, cut into wedges 2 fresh skinless pollock fillets (about 200g) small handful parsley, roughly chopped",greek-recipes
3,Moussaka,"6 tbsp olive oil 3 medium aubergines, cut into 5mm rounds 800g lamb mince 1 onion, finely chopped 2 fat garlic cloves, crushed 3 heaped tsp dried oregano 2 tsp ground cinnamon 2 bay leaves 200ml red wine 400g can chopped tomatoes 2 tbsp tomato purée ½ tbsp light brown soft sugar 550g Maris Piper potatoes, peeled and sliced into 5mm rounds 40g unsalted butter 40g plain flour 450ml whole milk 40g parmesan, finely grated whole nutmeg, for grating 1 large egg plus 1 yolk, lightly beaten",greek-recipes
4,Greek lamb with potatoes & olives,"800g medium-size potatoes , skin on, thinly sliced  4 large tomatoes , thinly sliced 1 aubergine , thinly sliced 4 garlic cloves , chopped 3 tbsp oregano leaves, plus extra for sprinkling 85g pitted Kalamata olives , halved 5 tbsp olive oil , plus a drizzle 100g feta cheese , crumbled 4 lamb steaks",greek-recipes
5,Spicy lamb & feta skewers with Greek brown rice salad,"300g brown basmati rice 500g lamb mince 1 tbsp harissa 50g feta cheese 1 large red onion , ½ thinly sliced, ½ grated large handful parsley , roughly chopped large handful mint , roughly chopped 85g pitted  black kalamata olive , quartered 1 cucumber , diced 300g cherry tomato , halved 1 tbsp olive oil juice 1 lemon",greek-recipes
6,Greek lamb meatballs,"2 tbsp olive oil 500g lamb meatballs 300g baby new potatoes, thickly sliced 2 large garlic cloves, crushed 185g chargrilled vegetables, drained if in oil 2 x 400g cans chopped tomatoes with herbs 2 tsp light brown soft sugar 100g black olives 40g feta, crumbled ½ small bunch mint, finely shredded 1 lemon, zested",greek-recipes
7,Lamb burgers with tzatziki,"25g bulghar wheat 500g extra-lean lamb mince 1 tsp ground cumin 1 tsp ground coriander 1 tsp smoked paprika 1 garlic clove , very finely crushed (optional) oil , for brushing large burger buns , sliced tomato and red onion, to serve 5cm piece  cucumber , deseeded and coarsely grated 200g pot thick Greek yogurt 2 tbsp chopped mint , plus a handful of leaves to serve",greek-recipes
8,Griddled chicken with quinoa Greek salad,"225g quinoa 25g butter 1 red chilli, deseeded and finely chopped 1 garlic clove, crushed 400g chicken mini fillets 1½ tbsp extra-virgin olive oil 300g vine tomato, roughly chopped handful pitted black Kalamata olive 1 red onion, finely sliced 100g feta cheese, crumbled small bunch mint leaves, chopped juice and zest ½ lemon",greek-recipes
9,Tzatziki,"½ cucumber, halved and deseeded 170g pot Greek yogurt 1 small garlic clove, crushed handful mint leaves, chopped",greek-recipes
