,name,ingredients,cuisine
0,Chicken biryani bake,"1 tbsp olive oil 4 skinless chicken breasts , chopped into chunks 4 skinless, boneless chicken thighs , chopped into chunks 2 onions , sliced 4 tbsp curry paste (we used korma and tikka masala) 300g cauliflower , chopped into small florets 700ml chicken stock 400g can chopped tomato 400g can chickpea , rinsed and drained 200g natural yogurt 300g spinach 400g basmati rice , cooked following pack instructions 5 tbsp flaked almond",indian-recipes
1,Spiced Indian potato wraps,"4 sweet potatoes , cut into chunky wedges 1 red chilli , finely chopped 2 tbsp olive oil 2 tsp cumin seeds 1 tbsp garam masala 1 red onion , thinly sliced juice 1 lime 2 tsp sugar 6-9 chapatis 150ml natural yogurt large bunch coriander",indian-recipes
2,Gujarati cabbage with coconut & potato,"500g Charlotte or other new potato , unpeeled and halved 2 tbsp sunflower oil 1 pinch asafoetida (available from Bart or steenbergs.co.uk, see tip) 1 tsp black mustard seeds 1 tsp cumin seeds 2 dried red chillies 1 fresh red or green chilli , deseeded and thinly sliced 1 pointed (sweetheart) cabbage , finely shredded juice ½  lemon 2 tbsp desiccated or shaved fresh coconut , toasted bunch of coriander , roughly chopped",indian-recipes
3,Paneer with broccoli & sesame,"200g sprouting broccoli 1 tbsp vegetable oil pinch asafoetida 1 tsp cumin seed 1 tbsp sesame seeds 1 large green chilli , finely chopped ½ tsp brown mustard seeds 6 curry leaves 1 medium onion , sliced 140g paneer cheese, cut into strips 1 tbsp grated ginger 2 garlic cloves , crushed 1 tsp lemon juice ½ tsp ground mace",indian-recipes
4,Curried chickpeas,"2 tbsp vegetable oil 1 tsp cumin seeds 1-2 red chillies , deseeded and chopped 1 clove 1 small cinnamon stick 1 bay leaf 1 onion , finely chopped ½ tsp ground turmeric 2 garlic cloves , finely chopped 400g can chickpeas , rinsed and drained 1 tsp paprika 1 tsp ground coriander 2 small tomatoes , chopped 1 tbsp chopped coriander",indian-recipes
5,Creamy veggie korma,"1 tbsp vegetable oil 1 onion, finely chopped 3 cardamom pods, bashed 2 tsp each ground cumin and coriander ½ tsp ground turmeric 1 green chilli, deseeded (if desired) and finely chopped 1 garlic clove, crushed thumb-size piece ginger, finely chopped 800g mixed vegetable, such as carrots, cauliflower, potato and courgette, chopped 300-500ml hot vegetable stock 200g frozen peas 200ml yogurt 2 tbsp ground almonds (optional) ½ small raw chicken breast per portion toasted flaked almonds, chopped coriander, basmati rice or naan bread",indian-recipes
6,Indian lamb with spiced pumpkin pickle,"8 lamb cutlets 150ml tub natural yogurt 1 tsp ground coriander 1 tsp turmeric small bunch coriander , chopped juice and zest 1 lemon naan bread , to serve 750g chunk squash , peeled and chopped into 2cm pieces 1 tbsp sunflower oil 2 onions , chopped thumb-size piece ginger , chopped 1 green chilli , halved 2 tsp black or brown mustard seeds 1 tsp ground coriander 2 tsp turmeric 2 tbsp cornflour 250g caster sugar 250ml cider vinegar",indian-recipes
7,Vegetable curry for a crowd,"1 large potato, diced 1 small butternut squash, peeled, deseeded and diced 1 aubergine, diced 6 tbsp tikka masala paste 3 tbsp vegetable oil 2 onions, sliced 680g-700g jar tomato passata 400g can coconut milk 2 red peppers, sliced 2 courgettes, diced few coriander sprigs, to serve rice or naan bread, to serve",indian-recipes
8,Tandoori spiced sea bream,"drizzle olive oil , for frying 2 sea bream fillets 1 tsp garlic paste (blend lots of peeled garlic with a little vegetable oil, then freeze in ice cube trays) 1 tsp ginger paste (made as above) 2 green chillies ¼ tsp red chilli powder ½ tsp turmeric ½ tsp garam masala juice ½ lime 100g unsalted butter",indian-recipes
9,Chicken masala skewers,"150ml 0% fat Greek yogurt 2 tbsp masala paste handful of coriander leaves, chopped, plus extra leaves to serve juice 1 lime , pinch of zest, plus wedges to serve 4 skinless, boneless chicken breasts , each cut into 6 chunks wholemeal chapatis , to serve 250g pack cherry tomatoes , hulled or quartered 1 red onion , finely chopped 1 cucumber , cut into chunks",indian-recipes
10,Red onion & chilli bhajis with mint & garlic raita,"2 red onions 100g chickpea flour (gram flour) ½ tsp baking powder 2 tsp curry paste or powder 1 red or green chilli , deseeded and finely chopped vegetable oil , for frying 150g tub natural yogurt 2 tbsp chopped mint 1 small garlic clove , crushed",indian-recipes
11,Cauliflower & chickpea pilaf,"1 tbsp sunflower oil 2 large onions , sliced 1 tbsp curry paste of your choice 200g basmati rice 350g cauliflower florets 400g can chickpeas , rinsed and drained 500ml vegetable stock 50g toasted flaked almonds handful chopped coriander",indian-recipes
12,Mango & cardamom syllabub,"4 large mangoes , peeled and stoned, 2 finely chopped 10 green cardamom pods , seeds removed finely grated zest and juice 2 limes 85g icing sugar 4 tbsp brandy 568ml pot double cream 4 meringues  shells, lightly crushed mint  sprigs, to serve",indian-recipes
13,Rosewater & pistachio kulfi with griddled mangoes,"450g tin condensed milk 2 tbsp rosewater 50g very finely chopped pistachio , plus roughly chopped pistachios to serve 284ml tub double cream 3 small, ripe mangoes",indian-recipes
14,Egg curry,"3 eggs 1 onion , finely sliced 1 tbsp vegetable oil 2 tbsp korma paste 175g green bean , trimmed and halved 175g young leaf spinach 175g cherry tomato 100ml reduced-fat coconut milk",indian-recipes
15,Fruity coconut creams,"1 x 50g/2oz sachet coconut cream 500g 0% Greek yogurt  or tub quark 85g icing sugar , sieved few drops vanilla extract 2   kiwi fruit 400g can pineapple chunks",indian-recipes
0,Railway lamb curry,"8 garlic cloves , crushed thumb-sized piece ginger , finely grated 2 tsp turmeric 800g leg of lamb on the bone, cut into bite-sized pieces 3 tbsp vegetable oil 10-12 curry leaves 1 onion , finely chopped 450ml lamb stock 1 medium potato , peeled and cut into chunks 250ml coconut milk 2 tsp tamarind paste rice or roti, to serve 1 tbsp coriander seeds 2 tsp fennel seeds 1 tsp cumin seeds 6-7 dried Kashmiri chillies (or mild dried red chillies), stalks removed",indian-recipes
1,Healthier chicken balti,"450g skinless, boneless chicken breast, cut into bite-sized pieces 1 tbsp lime juice 1 tsp paprika ¼ tsp hot chilli powder 1½ tbsp sunflower or groundnut oil 1 cinnamon stick 3 cardamom pods, split 1 small to medium green chilli ½ tsp cumin seed 1 medium onion, coarsely grated 2 garlic cloves, very finely chopped 2½ cm-piece ginger, grated ½ tsp turmeric 1 tsp ground cumin 1 tsp ground coriander 1 tsp garam masala 250ml organic passata 1 red pepper, deseeded, cut into small chunks 1 medium tomato, chopped 85g baby spinach leaves handful fresh coriander, chopped chapatis or basmati rice, to serve (optional)",indian-recipes
2,Creamy beetroot curry,"1 tbsp vegetable oil 2 onions , very finely chopped 2 tsp yellow mustard seed 3 tbsp Madras curry paste 1kg (peeled weight) raw  beetroot , peeled, halved and thickly sliced 1 green chilli , halved lengthways 400g can  chopped tomato 3 tbsp ground almond 4 tbsp low-fat  natural yogurt , plus extra to serve basmati rice , to serve (optional)",indian-recipes
3,Spiced roast side of salmon,"1½ kg side of salmon, skin on 1 tbsp olive oil, plus extra for brushing ½ tsp ground ginger 1 tsp paprika ½ tsp coarsely ground black peppercorns 1 tbsp wholegrain mustard 1 tsp honey 1 lemon, cut into wedges, to serve",indian-recipes
4,Bombay potatoes,"1 thumb-sized piece ginger, grated 2 large garlic cloves 6 large  vine tomatoes, halved, deseeded and chopped  800g new potatoes, halved  3 tbsp sunflower oil 1 large onion, thinly sliced 2 green chillies, halved, deseeded and thinly sliced 1 tsp black mustard seeds 2 tsp ground coriander ½ tsp turmeric 1 tsp ground cumin 2 tsp garam masala small bunch coriander, chopped",indian-recipes
5,Bengali scotch eggs,"4 large eggs 400g lamb mince 6-8 garlic cloves , crushed 2 bird’s eye chillies , finely chopped small handful coriander , roughly chopped 1 tsp ground cumin 1 tsp chilli flakes 1 tsp garam masala 1 tsp ground coriander 4 tbsp vegetable oil , plus extra for deep-frying 1 medium potato , peeled, boiled and mashed with a fork (or 150g leftover mash) chutney , to serve (optional) 100g plain flour 2 eggs , beaten 100g panko breadcrumbs , seasoned with salt",indian-recipes
6,Channa bhatura,"400g self-raising flour , plus extra for dusting small bunch fresh fenugreek or coriander, finely chopped 250-300ml lukewarm milk sunflower oil , for deep-frying 2 tsp black loose-leaf tea , brewed in 1 litre hot water 2 x 400g cans chickpeas , drained and rinsed 2 tbsp ghee 2 onions , finely chopped 1 tbsp cumin seeds 3 black cardamom pods , bruised thumb-sized piece ginger , peeled and grated 3 garlic cloves , finely chopped 2 green chillies , finely chopped 2 tsp ground cinnamon 1 tsp ground fenugreek 1 tsp ground coriander 1 tsp ground ginger 1 tsp Kashmiri chilli powder 1 tbsp anardana 3 tomatoes , finely chopped 1 tbsp tomato purée 1 tsp turmeric 1 tsp kala namak ½ tsp coarsely ground  black pepper sliced red onion and yogurt, to serve ½ small bunch of coriander , leaves picked, plus extra to serve",indian-recipes
7,Dosa,"50g split urad lentils , washed 1 tbsp channa dal /bengal gram 190g basmati rice 1 tbsp fenugreek seeds (optional) vegetable oil , for frying ",indian-recipes
8,Malabar prawns,"400g raw king prawns 2 tsp turmeric 3-4 tsp Kashmiri chilli powder 4 tsp lemon juice , plus a squeeze 40g ginger , half peeled and grated, half finely sliced into matchsticks 1 tbsp vegetable oil 4 curry leaves 2-4 green chillies , halved and deseeded 1 onion , finely sliced 1 tsp cracked black pepper 40g fresh coconut , grated ½ small bunch coriander , leaves only",indian-recipes
9,Family meals: Mild chicken curry,"1-1½ tsp coconut oil (we used Fushi) or sunflower oil 1 large onion, finely chopped 2 fat garlic cloves, crushed 1cm fresh ginger, grated or finely chopped 1 tsp ground coriander 1 tsp yellow mustard seed 1 tsp garam masala ½ tsp ground cumin 1 x 500g pack chicken pieces (thighs and drumsticks), or thighs 1 chicken stock cube 1 cinnamon stick 250g Greek yogurt, at room temperature 2 tbsp sultana handful chopped coriander, to serve (optional)",indian-recipes
10,Squash & cabbage sabzi,"2 tbsp sunflower oil 1 tsp nigella seeds thumb-sized piece ginger , grated 2 garlic cloves , grated 200g pumpkin or butternut squash, peeled and chopped into 1-2cm cubes 200g cabbage , chopped (sweetheart or pointed cabbage works well) 1 tsp turmeric 1 tsp ground coriander 1 tsp ground cumin 1 tsp chilli flakes 2 tsp lime juice dhal , chutney and rice or roti to serve (optional)",indian-recipes
11,Coronation chicken naans with Indian slaw,"1 ready-roasted  chicken , about 950g  2 x packs 4 mini coriander and garlic naan bread 150ml yogurt 150ml light  mayonnaise 1 tbsp mild curry powder 4 tbsp mango chutney small bunch coriander , roughly chopped, plus extra to serve 2 large carrots , grated 1 red cabbage , shredded 2 tsp black mustard seed",indian-recipes
12,Fried fish & tomato curry,"2 tbsp vegetable oil , plus 2 tsp 2 onions , thinly sliced 8 large  vine tomatoes , roughly chopped 4 garlic cloves thumb-sized piece ginger , roughly chopped 3 tbsp Madras curry paste 165ml can coconut milk large handful coriander , finely chopped, plus extra sprigs to serve 500g pollock fillets, skinned 6 tbsp plain flour basmati rice , to serve",indian-recipes
13,New potato & tamarind salad,"1 ½ tbsp tamarind pulp or paste 50g golden muscovado sugar 1 tbsp ground cumin thumb-sized piece ginger , chopped 1.2kg new potato 3 tbsp natural low-fat yogurt 4 tbsp chopped coriander",indian-recipes
14,Cardamom butter chicken,"2 garlic cloves , roughly chopped thumb-sized piece ginger , chopped 2 green chillies , chopped (leave seeds in if you like it hot) small bunch coriander , leaves picked, stalks roughly chopped 3 tbsp ghee , or vegetable oil 2 onions , sliced 2 tsp each turmeric, garam masala and  ground cumin 1 tsp ground fenugreek 4 chicken breasts , cut into 2.5cm cubes 4 cloves 12 cardamom pods , seeds removed 1 cinnamon stick 400g can tomato 150ml pot yogurt 50ml double cream chapatis and  rice , to serve",indian-recipes
15,Goan prawn & coconut curry with cumin rice,"1 tbsp sunflower oil 1 onion , thinly sliced 1 tbsp freshly grated ginger 2 garlic cloves , crushed 1 red chilli , deseeded and sliced ½ tsp turmeric ½ tsp chilli powder 1 tsp ground coriander 10 curry leaves 1 large  potato , diced 400ml can half-fat coconut milk 8 cherry tomatoes , halved handful baby spinach 200g pack raw peeled prawn 1 tsp cumin seed 175g basmati rice",indian-recipes
16,Chicken tikka with spiced rice,"4 skinless chicken breasts 150g pot low-fat natural yogurt 50g tikka paste 100g/4oz  cucumber , diced 1 tbsp roughly chopped mint leaves 1 red onion , cut into thin wedges 140g easy-cook long grain rice 1 tbsp medium curry powder 50g frozen pea 1 small red pepper , diced",indian-recipes
17,Tandoori roast chicken,"1.8kg chicken 2 onions , thickly sliced 1 lemon , halved thumb-sized piece ginger , peeled and thickly sliced 400g can coconut milk small bunch coriander , roughly chopped 150ml pot natural yogurt 1 tbsp tomato purée juice 1 lemon 1 tsp each hot chilli powder, turmeric, ground coriander, ground cumin, garam masala and ground cinnamon 6 garlic cloves , whizzed to a paste with the ginger ½ finger-length piece ginger , whizzed to a paste with the garlic few drops red food colouring (optional)",indian-recipes
