recipe,type
"375g/13oz mixed dried fruit 250ml/9fl oz cold tea 50ml/2fl oz Irish whiskey knob of butter, for greasing 225g/8oz plain flour 2 tsp baking powder 125g/4½oz light brown sugar ½ tsp mixed spice 1 large free-range egg 2 tbsp golden caster sugar 3 medium free-range egg yolks 2 tbsp whole milk 275ml/9½fl oz double cream ¼ vanilla pod, split and seeds removed 85g/3oz white chocolate, broken into pieces  2 tbsp Irish whiskey or Irish cream liqueur 1 large orange, finely grated zest and juice 175g/6oz caster sugar 115g/4oz pitted prunes 4–6 tbsp Irish whiskey ",irish
"500g/1lb 2oz potato, peeled, grated 500g/1lb 2oz cold mashed potato 420g/15oz plain flour 1 heaped tsp baking powder 1-2 tbsp melted butter salt and freshly ground black pepper 200ml/7fl oz milk 1-2 tbsp olive oil 8-12 rashers smoked streaky bacon maple syrup, to serve ",irish
"250g/9oz colcannon or mashed potato 250g/9oz potatoes (such as Rooster), peeled and grated 100g/3½oz plain flour 125ml/4fl oz milk knob of butter rapeseed oil, for frying sea salt and freshly ground black pepper 4 small mackerel, gutted and butterflied or filleted 2–3 tbsp olive oil  3 garlic cloves, finely chopped knob of butter dill, chopped, to garnish 1 lemon, juice only, to serve ½ head frissee lettuce, inner leaves removed 3 tbsp olive oil 1 tbsp white wine vinegar 1 tsp Dijon mustard ",irish
"2 tbsp olive oil 1 kg/2lb 4oz shin of beef, cut into 2cm/¾ in pieces 2 onions, finely chopped 3 celery sticks, finely chopped 2 garlic cloves, finely chopped 1 thyme sprig, leaves removed 1 bay leaf 1 tbsp tomato purée 250ml/9fl oz veal or beef stock 440ml/16fl oz Irish stout  50g/1¾oz butter 2 potatoes, peeled, and cubed  2 slices Irish soda bread, crusts removed and cut into small triangles 2 tsp Dijon mustard 1 tbsp finely chopped fresh flatleaf parsley 3 fresh oysters, shucked 1 tsp lemon juice 1 garlic clove, finely chopped 1 tsp finely chopped fresh tarragon 2 tbsp snipped fresh chives 2 tbsp fresh chervil leaves 2 tbsp fresh tarragon leaves ",irish
"1.35kg/3lb potatoes, well scrubbed and left whole in their jackets 290ml/½ pint milk 85g/3oz butter salt and white pepper 1 large bunch spring onions, finely chopped ",irish
"500g/1lb2oz floury potatoes, boiled until tender 250g/9oz cabbage, shredded and lightly steamed 2 tbsp cream (optional) salt and black pepper 1 large or 2 small onions, sliced thinly  a little bacon fat, beef dripping or other oil, for frying ",irish
"200ml/7fl oz buttermilk 2 rosemary sprigs 2 x 200g/7oz fillet of beef 300g/10½oz carrots, peeled and finely chopped 30g/1oz cumin seeds wrapped in a square of muslin cloth 200ml/7fl oz milk 100ml/3½fl oz double cream 100g/3½oz cold mashed potato 100g/3½oz potato, scrubbed and grated 50g/1¾oz plain flour 1 free-range egg pinch grated nutmeg 2 rosemary sprigs, leaves picked and finely chopped 100g/3½oz unsalted butter oil pinch salt oil, for deep frying 6 stems baby kale splash smoked blackberry balsamic vinegar or good-quality balsamic vinegar 400ml/14fl oz hot gravy ",irish
"20g/¾oz dulse seaweed (available from specialist suppliers and some health-food shops) 175g/6oz butter, softened ½ lemon, juice only 2 fresh mackerel, guts removed (ask your fishmonger to do this for you, or to butterfly the mackerel for you) 1 shallot, thinly sliced 75g/3oz broad beans (without pods, inner membranes removed) 100g/3½oz fresh peas, half removed from their pods, half split but left in the pods 12 asparagus spears, trimmed 4 sprigs fresh tarragon, leaves only ",irish
"500g/1lb 2oz lamb rump joint 100ml/3½fl oz buttermilk 2 garlic cloves, lightly crushed 1 rosemary sprig, roughly chopped 1 thyme sprig, roughly chopped 2 tbsp olive oil culinary hay, for smoking 400g/14oz purple sprouting broccoli, to serve 2 Little Gem lettuces, halved, to serve 1 lemon, cut into wedges, to serve 225g/8oz plain flour ½ tsp baking powder 225g/8oz mashed potato (without butter or milk) 225g/8oz potatoes, grated and any excess liquid squeezed out 350ml/12fl oz full-fat milk 1 bunch wild garlic leaves, chopped 2–3 tbsp olive oil, for frying salt and freshly ground black pepper bunch of mint, chopped pinch salt 1 tbsp red wine vinegar instant thickening starch, to thicken 4½ tbsp Irish malt whiskey 1 tsp honey 1 knob of butter 30g/1oz butter 55g/2oz oats 1 rosemary sprig, leaves picked and chopped ",irish
250ml/9fl oz single cream  1x 397g/14oz tin condensed milk 350ml/12fl oz Irish whiskey 1 tsp Camp coffee essence 3 tsp chocolate sauce 1 tsp vanilla essence 1 tsp almond essence ,irish
