,name,ingredients,cuisine
0,Margherita risotto balls,"1 tbsp olive oil 1 onion , chopped 500ml passata 850ml vegetable stock 1 garlic clove , crushed 300g arborio rice small glass of  white wine 25g parmesan (or vegetarian alternative), grated knob of butter 3 tbsp roughly chopped basil 125g ball  mozzarella , cut into 12 pieces 75g seasoned flour 2 eggs , beaten 125g pack dried breadcrumb 1 ½l oil , for deep-frying rocket , to serve",italian-recipes
1,Baked marrow amatriciana,"1 marrow , cut into 6cm thick slices 125g ball  mozzarella , grated 2 tbsp olive oil 125g pack  pancetta cubetti 1 large  onion , chopped 2 garlic cloves , chopped large sprig  thyme 1 bay leaf sprinkle  golden caster sugar 2-3 tbsp red wine vinegar 2 x 400g cans chopped tomato large glass red wine pinch dried chilli flakes",italian-recipes
0,Cannoli,"150g plain flour 1 tbsp golden caster sugar large pinch bicarbonate of soda ½ tsp cinnamon 1 tsp cocoa powder (optional) 30g butter 1 egg, separated 50ml dry marsala or white wine rapeseed oil or sunflower oil for deep-frying (see tip) 50g dark chocolate, melted handful pistachio kernels, finely chopped icing sugar, to dust 250g ricotta, drained and beaten until fluffy 100g mascarpone 2 tbsp finely chopped candied peel 2 tbsp icing sugar cannoli moulds (available to buy online)",italian-recipes
1,Pizza Margherita in 4 easy steps,"300g strong bread flour 1 tsp instant yeast (from a sachet or a tub) 1 tsp salt 1 tbsp olive oil, plus extra for drizzling 100ml passata handful fresh basil or 1 tsp dried 1 garlic clove, crushed 125g ball mozzarella, sliced  handful grated or shaved parmesan (or vegetarian alternative) handful of cherry tomatoes, halved   handful of basil leaves (optional)",italian-recipes
2,Arancini balls,"2 tbsp olive oil 15g unsalted butter 1 onion, finely chopped 1 large garlic clove, crushed  350g risotto rice 150ml dry white wine 1.2l hot chicken or veg stock 150g parmesan, finely grated 1 lemon, finely zested  150g ball mozzarella, chopped into 18 small pieces   vegetable oil, for deep-frying  150g plain flour 3 large eggs, lightly beaten  150g fine dried breadcrumbs (panko works well)",italian-recipes
3,Braised rabbit pappardelle,"2 tbsp olive oil 1 wild  rabbit , jointed (ask your butcher to do this for you) 4 rashers smoked streaky bacon , chopped 1 small  red onion , finely chopped 1 carrot , finely chopped 3 garlic cloves , crushed 2 rosemary sprigs, leaves picked and chopped 1 tbsp tomato purée 150ml white or  rosé wine 500ml chicken stock 500g pappardelle pasta zest ½ orange 1 tbsp Dijon mustard 100ml double cream small bunch flat-leaf parsley , chopped, plus a few leaves picked to serve grated parmesan , to serve",italian-recipes
4,Focaccia,"500g strong bread flour , plus extra for dusting  7g dried fast action yeast 2 tsp fine sea salt 5 tbsp olive oil , plus extra for the tin and to serve 1 tsp flaky sea salt ¼ small bunch of rosemary , sprigs picked ",italian-recipes
5,Affogato,12 scoops good-quality vanilla ice cream 6 shots hot espresso coffee,italian-recipes
6,Fig & prosciutto pizzettas,"knob of  butter 3 shallots , finely diced 250g full-fat  crème fraîche 50g parmesan , finely grated 4 ripe figs , cut into chunks 125g ball good-quality buffalo mozzarella , roughly torn 2 handfuls rocket 6 slices  prosciutto , torn into strips 2 tbsp extra-virgin olive oil 2 tbsp good balsamic vinegar 400g strong white bread flour , plus extra for dusting 7g sachet fast-action dried yeast 1 tsp salt 4 tbsp olive oil",italian-recipes
7,Aubergine rolls with spinach & ricotta,"2 aubergines , cut into thin slices lengthways 2 tbsp olive oil 500g spinach 250g tub ricotta grating of  nutmeg 350g jar tomato sauce 4 tbsp fresh breadcrumb 4 tbsp parmesan (or vegetarian alternative)",italian-recipes
8,"Gnocchi with parsley, butter & samphire","900g floury potatoes , roughly the same size or halved if large, unpeeled 50g salted butter 1 medium egg , beaten 225-280g plain white flour 100g salted butter 6 shallots , finely sliced 3 garlic cloves , finely chopped 200g samphire 2 small packs parsley , chopped",italian-recipes
9,Apricot & ratafia sponge cake,"200g softened butter , plus extra for the tin 200g caster sugar 200g self-raising flour 1 tsp baking powder 4 large eggs ½-1 tsp almond essence (optional) 410g can apricot halves in natural juice, drained, 100g roughly chopped, remainder halved 85g ratafia or amaretti biscuit (keep ratafias whole or break the amaretti) 25g flaked almond",italian-recipes
