,name,ingredients,cuisine
0,Miso-marinated salmon,3 tbsp pale (shiro) miso paste 2 tbsp mirin 1 tbsp sugar 1 tbsp saké  (optional) 2 x 100g salmon fillets half a cucumber 2 tsp rice wine  vinegar 1 tsp vegetable oil pinch caster sugar,japanese-recipes
1,Citrus soba noodles,"250g soba noodle  (see know-how below) 4 spring onions , shredded zest and juice 1  lime 1 tbsp soy sauce",japanese-recipes
2,Grilled salmon teriyaki with cucumber salad,"1 tbsp sunflower oil 5 tbsp soy sauce 5 tbsp mirin or dry sherry 1 tbsp golden caster sugar 1 piece fresh root ginger , peeled and finely grated 2 garlic cloves , crushed to a paste 4 frozen boneless, skinless salmon fillets 1 small cucumber 1 tbsp rice wine vinegar 1 tbsp soy sauce ½ tsp golden caster sugar 1 tbsp toasted sesame seeds",japanese-recipes
3,Cauliflower tempura,"1 small cauliflower , cut into medium-size florets 100g plain flour 2 eggs , separated 2 tbsp vegetable oil vegetable oil  for deep frying",japanese-recipes
4,Sesame beef wraps,"1 tsp vegetable oil 175g beef  steak, cut into thin strips 1 red pepper , deseeded and thinly sliced 2 garlic cloves , thinly sliced  2cm piece fresh root ginger , thinly sliced and cut into matchsticks 1 tbsp sesame seed 2 tbsp soy sauce 2 Baby Gem lettuces 1 tsp sesame oil",japanese-recipes
5,Chicken soba noodles,85g bundle soba or buckwheat noodles drizzle of sesame oil 8 mangetout 1 small carrot ½ red chilli 1 tbsp toasted sesame seeds handful shredded cooked chicken soy sauce,japanese-recipes
6,Vegetable tempura with soy & dipping sauce,"100g (approx) each of a mix of firm vegetables, cut into bite-size pieces, such as aubergine, broccoli, courgette, mushrooms, red pepper and sweet potatoes tempura batter (see below) groundnut or sunflower oil, for deep frying 3 tbsp soy sauce 3 tbsp dry sherry 1 tbsp sugar 1 lemon, zest only",japanese-recipes
7,Smoked trout & cucumber sesame noodles,"1.2l vegetable stock knob fresh root ginger , peeled and shredded 100g soba noodle 1 tbsp reduced-salt soy sauce , plus extra to serve if you like 1 tbsp tahini paste  or peanut butter 125g pack smoked trout  fillets, flaked ½  large cucumber , sliced 6 spring onions , finely sliced sesame seed , to serve sesame oil , to serve",japanese-recipes
8,Miso brown rice & chicken salad,"120g brown basmati rice 2 skinless chicken breasts 140g sprouting broccoli 4 spring onions , cut into diagonal slices 1 tbsp toasted sesame seeds 2 tsp miso paste 1 tbsp rice vinegar 1 tbsp mirin 1 tsp grated ginger",japanese-recipes
9,Soba noodle & edamame salad with grilled tofu,"140g soba noodles 300g fresh or frozen podded edamame (soy) beans 4 spring onions , shredded 300g bag beansprouts 1 cucumber , peeled, halved lengthways, deseeded with a teaspoon and sliced 250g block firm tofu , patted dry and thickly sliced 1 tsp oil handful coriander leaves, to serve 3 tbsp mirin 2 tsp tamari 2 tbsp orange juice 1 red chilli , deseeded, if you like, and finely chopped",japanese-recipes
