,name,ingredients,cuisine
0,Mediterranean feta salad with pomegranate dressing,"2 red peppers 3medium aubergines , cut into chunks, or 15 small, halved 6 tbsp extra-virgin olive oil tsp cinnamon 200g green bean , blanched (use frozen if you can) 1 small red onion , sliced into half moons 200g feta cheese , drained and crumbled seeds 1  pomegranate handful parsley , roughly chopped 1 small garlic clove , crushed 1 tbsp lemon juice 2 tbsp pomegranate molasses 5 tbsp extra-virgin olive oil",mediterranean-recipes
0,Griddled chicken with quinoa Greek salad,"225g quinoa 25g butter 1 red chilli, deseeded and finely chopped 1 garlic clove, crushed 400g chicken mini fillets 1½ tbsp extra-virgin olive oil 300g vine tomato, roughly chopped handful pitted black Kalamata olive 1 red onion, finely sliced 100g feta cheese, crumbled small bunch mint leaves, chopped juice and zest ½ lemon",mediterranean-recipes
1,Mediterranean potato salad,"1 tbsp olive oil 1 small  onion , thinly sliced 1 garlic clove , crushed 1 tsp oregano , fresh or dried ½ x 400g can cherry tomatoes 100g roasted red pepper , from a jar, sliced 300g new potato , halved if large 25g black olive , sliced handful  basil leaves , torn",mediterranean-recipes
2,Courgette & quinoa-stuffed peppers,"4 red peppers 1 courgette , quartered lengthways and thinly sliced 2 x 250g packs ready-to-eat  quinoa 85g feta cheese , finely crumbled handful parsley , roughly chopped",mediterranean-recipes
3,Bacon & brie omelette wedges with summer salad,"2 tbsp olive oil 200g smoked lardons 6 eggs , lightly beaten small bunch chives , snipped 100g brie , sliced 1 tsp red wine vinegar 1 tsp Dijon mustard 1 cucumber , halved, deseeded and sliced on the diagonal 200g radishes , quartered",mediterranean-recipes
4,Herbed lamb cutlets with roasted vegetables,"2 peppers , any colour, deseeded and cut into chunky pieces 1 large sweet potato , peeled and cut into chunky pieces 2 courgettes , sliced into chunks 1 red onion , cut into wedges 1 tbsp olive oil 8 lean  lamb cutlets 1 tbsp thyme leaf , chopped 2 tbsp mint leaves, chopped",mediterranean-recipes
5,Chorizo pilaf,"1 tbsp olive oil 1 large onion , thinly sliced 250g baby cooking  chorizo , sliced 4 garlic cloves , crushed 1 tsp smoked paprika 400g can  chopped tomato 250g basmati rice 600ml stock 1 lemon , zest peeled off in thick strips, plus wedges to serve 2 fresh bay leaves small bunch parsley , chopped",mediterranean-recipes
6,Broad bean & feta cheese toasts,"350g broad bean , fresh or frozen 100g feta cheese (or vegetarian alternative), drained 2 tbsp chopped or shredded mint leaves 1 tbsp extra-virgin olive oil 50g bag mixed salad leaf 10 cherry tomatoes , halved 1 tsp lemon juice 4 thin slices  baguettes (white or brown)",mediterranean-recipes
7,Caponata,"100ml olive oil 3 large aubergines , cut into 2cm cubes 2 long shallots , chopped 4 large plum tomatoes , chopped 2 tsp caper , soaked if salted 50g raisin 4 celery sticks, sliced 50ml red wine vinegar handful toasted pine nuts and basil leaves 8 slices ciabatta olive oil , for drizzling 1 garlic clove",mediterranean-recipes
8,Mediterranean fig & mozzarella salad,"200g fine green bean , trimmed 6 small figs , quartered 1 shallot , thinly sliced x ball mozzarella , drained and ripped into chunks 50g hazelnut , toasted and chopped small handful basil leaves, torn 3 tbsp balsamic vinegar 1 tbsp fig jam or relish 3 tbsp extra-virgin olive oil",mediterranean-recipes
