,name,ingredients,cuisine
0,Prawn fajitas with avocado cream,"juice 2 lime , plus wedges to serve 1 red chilli , deseeded and chopped 2 garlic cloves , crushed small bunch coriander , chopped 225g large raw peeled prawn 1 avocado , stoned and skinned 1 heaped tbsp soured cream , plus extra to serve 1 tbsp olive oil 1 red pepper , deseeded and sliced 4 flour tortillas and a good handful mixed salad leaves, to serve",mexican-recipes
1,Mexican steak with homemade refried beans,"2 small sirloin or rump steaks, or 1 big 2 tsp sunflower oil 1 tsp chipotle paste (we used Discovery) about 2 whole roasted red pepper from a jar, quartered 1 small ripe avocado , stoned and chunkily diced 1 lime , cut into wedges few  coriander sprigs, leaves picked few dollops  soured cream 1 onion , chopped 1 tbsp sunflower or  vegetable oil 2 tsp ground cumin ½ tsp hot paprika , plus a pinch extra (optional) 1 tbsp tomato purée 2 tsp each chipotle paste, brown sugar and wine vinegar (red or white) 400g can  black bean , drained and rinsed 400g can pinto or kidney bean , drained and rinsed",mexican-recipes
2,Homemade tortilla chips with guacamole & charred tomato salsa,"12 corn tortillas 3 tbsp vegetable oil 3 large ripe avocados juice 2  limes ½ small red onion , finely diced small handful coriander , chopped 2 green chillies , deseeded and finely chopped 2 tsp   chipotle paste or ½ tsp Chipotle Tabasco 6 plum tomatoes , halved 2 green or jalapeno chillies 8 garlic cloves , unpeeled ½  red onion , finely diced 2 tbsp coriander , roughly chopped juice 1  lime 1 tbsp chipotle paste or Chipotle Tabasco",mexican-recipes
3,Mexican beef chilli,"up to 6 tbsp sunflower oil 4kg stewing beef 4 white onions, sliced 4 tbsp chipotle paste 8 garlic cloves, crushed 50g ginger, grated 1 tbsp ground cumin 2 tsp ground cinnamon 1 tbsp plain flour 2l beef stock 3 x 400g cans chopped tomatoes 1 tbsp dried oregano 5 x 400g cans pinto or kidney beans, drained",mexican-recipes
4,Mexican chicken stew,"1 tbsp vegetable oil 1 medium onion, finely chopped 3 garlic cloves, finely chopped ½ tsp dark brown sugar 1 tsp chipotle paste (we used Discovery) 400g can chopped tomatoes 4 skinless, boneless chicken breasts 1 small red onion, sliced into rings a few coriander leaves corn tortillas, or rice to serve",mexican-recipes
5,Warm Mexican bean dip with tortilla chips,"1 onion , chopped 1 tbsp olive oil 1 tsp soft brown sugar 1 tsp wine vinegar 1 tsp Cajun seasoning 400g tin mixed beans , rinsed and drained 400g tin chopped tomatoes , with garlic handful grated cheddar 100g tortilla chips serve with chopped avocado (optional)",mexican-recipes
6,Spicy vegetable fajitas,"8 pancakes    (see recipe link below) 2 tbsp olive oil 1 onion , chopped 1 small cauliflower , cut into small florets 410g can chickpeas , drained and rinsed 400g jar arrabbiata  tomato sauce  (we used Loyd Grossman) 3 tbsp chopped fresh coriander 150g tub low-fat natural yogurt 50g baby  spinach  leaves",mexican-recipes
7,Grilled salmon with chilli glaze & lime crème fraîche,"6 garlic cloves , unpeeled 1 small onion , cut into thick slices 1 ancho chilli or large red dried chilli, deseeded and trimmed 4 tbsp soft brown sugar 4 tbsp cider vinegar 4 x 150g skinless salmon fillets 1 lime , zested, then cut into wedges 200g crème fraîche or soured cream chopped coriander , to serve (optional)",mexican-recipes
8,Mexican potatoes,"800g potato , cut into cubes 1 tbsp olive oil 1 onion , finely chopped 1 garlic clove , finely chopped ½ tsp mild chilli powder ½ tsp paprika 1 tsp cumin ½ tsp cayenne pepper soured cream , to serve",mexican-recipes
9,Mexican soup with chicken,"2 tbsp olive oil 1 onion , chopped 4 garlic cloves , crushed 1 ancho or other large dried chilli , deseeded and softened in boiling water for about 10 mins ½ tsp ground cumin 400g can plum tomato 1 ½l chicken stock 2 chicken breasts , sliced juice 2 limes tortilla chips or homemade tortilla strips (see below), chopped avocado, lime wedges, red onion and coriander, to serve",mexican-recipes
