,name,ingredients,cuisine
0,"Guinea fowl tagine with chickpeas, squash & apricots","3 tbsp olive oil 2 guinea fowl , jointed like a chicken (ask your butcher to do this or see our video on how to joint a chicken, in 'Try', below) 2 onions , roughly chopped 2 garlic cloves , chopped 1 butternut squash or small pumpkin, peeled, deseeded and cut into large chunks 1 tbsp ras-el-hanout 1 tsp ground cumin 1 tsp ground coriander ¼ tsp ground ginger 1 large  cinnamon stick small squeeze of  clear honey large pinch of  saffron , soaked in 1 tbsp boiling water juice 1  lemon 850ml chicken stock 400g can chickpea , drained and rinsed 200g dried apricot small bunch coriander couscous or rice, to serve",moroccan-recipes
1,Moroccan chicken stew,"large handful flaked almonds 1 tbsp ghee 2 red onions, finely sliced 4 garlic cloves, finely chopped thumb-sized piece ginger (about 40g), unpeeled if organic, finely grated 1 tsp ground cumin 1 tsp ground cinnamon ½ smoked sweet paprika 4 chicken thighs, skin on 2 red peppers, sliced into thin strips 1 large lemon, cut into 6 thick slices handful green olives, stoned 250ml gluten-free chicken stock or bone broth 4 pitted dates or dried apricots, chopped a small pinch of chilli powder or 1 fresh, red chilli, chopped (optional) 150g green beans, halved handful fresh coriander, chopped handful fresh parsley, chopped",moroccan-recipes
2,Moroccan chicken couscous with dates,"2 tbsp olive oil 500g skinless  chicken thigh 140g wholewheat couscous 2 onions , sliced 4 garlic cloves , sliced zest 2  lemons , juice of 1 350ml chicken stock 1 tsp ground cumin 1 tsp ground cinnamon 6 large dates , pitted and chopped (Medjool are nice) 50g flaked almond small bunch parsley , chopped",moroccan-recipes
3,Slow cooker Moroccan lamb stew,"2 tbsp olive oil or rapeseed oil 1kg diced lamb shoulder 2 onions, halved and sliced 5 garlic cloves, crushed thumb-sized piece ginger, peeled and grated or finely chopped 1 tbsp ground cumin 1 tbsp ground coriander 1 tsp ground cinnamon pinch saffron (or turmeric, to add colour) ½ large or 1  small preserved lemon, skin only, finely chopped 1 tbsp tomato purée 600ml hot beef stock or lamb stock 1 tbsp honey 1 lemon, zested, plus a squeeze of juice 80g pitted Kalamata olives handful chopped mint, coriander or parsley (or a combination) couscous or rice, to serve",moroccan-recipes
4,"Minty carrot, pistachio & feta salad","2 tbsp olive oil , plus a little extra for drizzling 500g carrot , halved and cut into chunks 400g can  chickpea , drained and rinsed 2 tsp ground cumin juice ½  lemon 1 tbsp clear honey small bunch  mint , chopped 2 big handfuls  spinach 100g bag shelled pistachio , roughly chopped 200g pack  feta cheese , crumbled",moroccan-recipes
5,Butternut & harissa hummus,"½  butternut squash (about 400g), peeled and cut into 2cm pieces 3 garlic cloves , unpeeled 2 tbsp olive oil 3 tbsp tahini paste 1 tbsp harissa , plus a little extra for drizzling 400g can  chickpeas , drained and rinsed",moroccan-recipes
6,Moroccan chicken one-pot,"4 boneless, skinless chicken breasts 3 tbsp olive oil 2 onions, 1 roughly chopped, 1 sliced 100g tomatoes 100g ginger, roughly chopped 3 garlic cloves 1 tsp turmeric 1 tbsp each ground cumin, coriander and cinnamon 1 large butternut squash, deseeded and cut into big chunks 600ml chicken stock 2 tbsp brown sugar 2 tbsp red wine vinegar 100g dried cherries 1 small red onion, finely chopped zest 1 lemon handful mint leaves 100g feta cheese, crumbled couscous and natural yogurt",moroccan-recipes
7,"Lamb, squash & apricot tagine","2 tbsp oil 1 large onion, finely chopped 2 garlic cloves, finely chopped 1 tbsp ras-el-hanout 1 tsp ground coriander 600g lamb leg, diced into 2cm pieces, excess fat trimmed 200g butternut squash, diced 200g soft dried apricot 400g can chopped tomato 500ml lamb or beef stock zest 1 lemon small bunch coriander couscous and  natural yogurt, to serve",moroccan-recipes
8,Moroccan tomato & chickpea soup with couscous,"75g couscous 3 tbsp olive oil 750ml low-sodium hot vegetable stock 1 large onion, finely chopped 1 carrot, chopped into small cubes 4 garlic cloves, crushed half a finger of ginger, peeled and finely chopped 1-2 tbsp ras-el-hanout 1 tbsp harissa paste, plus extra to serve 400g tin chopped tomato 400g tin  chickpea juice ½  lemon roughly chopped coriander, to serve",moroccan-recipes
9,Moroccan harira & chicken soup,"3 tbsp olive oil , plus extra to drizzle 4 boneless, skinless chicken thighs 1 leek , washed and finely sliced 4 fat  celery sticks, chopped into small pieces 3 large carrots , chopped into small pieces 2 big parsnips , peeled and chopped into small pieces small pack  coriander , stalks finely chopped, leaves reserved to serve 1 tbsp cumin seeds 2 tsp ground cumin 2 tsp ground coriander 2 tsp ground cinnamon 2 tsp ground turmeric 2 tbsp harissa (we used Belazu) 2 x 400g cans chopped tomatoes 2 chicken stock cubes , crumbled 85g raw green  lentils zest and juice 1  lemon 1 tbsp golden caster sugar natural yogurt , toast and hummus, to serve",moroccan-recipes
