recipe,type
"1½ litres/2½ pints whole milk 300g/10½oz short grain or pudding rice  15g/½oz butter 3 tbsp caster sugar 1 vanilla pod, split 100g/3½oz blanched almonds, finely chopped 500g/1lb 2oz cherries, pitted 100g/3½oz caster sugar 1 lemon, juice only 2 tsp arrowroot kirsch, to taste (optional) 100ml/3½fl oz double cream, whipped ",nordic
"2 tbsp oil 1 onion, chopped 1 anchovy fillet, chopped  200ml/7fl oz reduced veal stock (or chicken stock) 200ml/7fl oz double cream  1 tsp cornflour  salt and freshly ground black pepper ½ onion, finely chopped 150ml/5fl oz double cream 100ml/3½fl oz milk 1 tbsp salt 1 tsp ground allspice 100g/3½oz fresh breadcrumbs  250g/9oz beef mince  250g/9oz pork mince 4 tbsp vegetable oil, for frying, plus extra for greasing 75g/2½oz unsalted butter ¼ white cabbage, shaved thinly on a mandoline 1 head fennel, shaved thinly on a mandoline salt 2 apples, shaved thinly on a mandoline 2 tbsp olive oil 3 tbsp soured cream salt and pepper 1 tbsp white wine vinegar 500g/1lb 2oz new potatoes, cooked ",nordic
"500g/1lb 2oz raw beetroot, scrubbed and skin left on 2 tbsp cherry vinegar  1 red onion, finely chopped 1 Bramley apple, peeled and finely grated  1½ tbsp wholegrain mustard 1 tbsp olive oil  2 tbsp horseradish, freshly grated  1 tbsp honey  handful foraged leaves (such as sea aster, sea beet or chickweed), chopped rapeseed oil, to taste 250g/9oz best-quality rump steak, trimmed and finely diced sea salt flakes and freshly ground black pepper 150g/5½oz smoked soft cheese 75-100ml/2½-3½oz single cream 50-100g/1¾-3½oz crème fraîche 75g/2½oz unsalted butter 150g/5½oz brown breadcrumbs foraged leaves (as above) ",nordic
"225g/8 oz butter, softened 150g/5½ oz caster sugar 1 lemon, zest only 250g/9 oz plain flour 100g/3½ oz ground almonds 3 tsp ground cardamom or 1 heaped tsp cardamom seeds, ground in a pestle and mortar ",nordic
"100g/3½oz unsalted butter 200ml/7fl oz milk 1 tsp salt 250g/9oz plain or wholemeal plain flour, plus extra for dusting 250g/9oz strong white flour 1½ tsp fast-action yeast 1 tsp ground cardamom (optional) 4 tbsp caster sugar 2 free-range eggs olive oil, for greasing 75g/2½oz unsalted butter, softened 100g/3½oz caster sugar 2 tbsp cinnamon 1 free-range egg, beaten ",nordic
"650g/1lb 7oz cod fillet, skinned and boned 150ml/5fl oz whipping cream ½ lemon, zest only 1 free-range egg, beaten 80g/2¾oz plain flour, plus extra for dusting ¾ tsp salt 12 turns black peppermill small handful dill, chopped 1 tbsp capers, chopped 40g/1½oz butter 1 free-range egg yolk 1 tsp white wine vinegar ¼ tsp salt 150ml/5fl oz olive oil 120ml/4fl oz mayonnaise (see above) 2 tbsp finely chopped capers 2 tbsp finely chopped pickled gherkin 1 small onion, finely grated squeeze lemon juice 2 tsp Dijon mustard ¼ tsp curry powder small handful chives, chopped 3–4 sprigs fresh tarragon, chopped 3 tbsp whipping cream, lightly whipped ",nordic
"2 leeks, sliced 2 carrots, sliced 1 onion, chopped 40g/1½oz butter, plus extra for greasing 600g/1lb 5oz cod loin, skinned and cut into 3cm/1in chunks 2 tbsp plain flour 50ml/2fl oz dry white wine  salt and freshly ground black pepper 70ml/2½fl oz white wine vinegar 2 shallots, finely chopped 2 sprigs fresh tarragon, plus 1 tsp freshly chopped  1 bay leaf 6 peppercorns 4 free-range egg yolks 300g/10½oz unsalted butter ",nordic
"1kg/2lb 4oz Klippfisk (salt cod) that has been soaked for 24 hours 1.8 litre/3¼ pints boiling water 1 medium sprig rosemary 15 mustard seeds 5 allspice 5 white peppercorns 5 cloves 1 garlic clove, finely chopped 1 small leek, finely shredded 1 onion, sliced 3 carrots, shredded or sliced 100g butter  700ml/1¼ pints milk 700ml/1¼ pints soured cream  rosemary sprigs, to garnish ",nordic
"1 tbsp olive oil 1 onion, sliced 1 carrot, diced 1 celery stick, diced 2kg/4lb 8oz crayfish (around 20 medium crayfish), shelled, tail meat reserved for soup 250ml/9fl oz white wine 2 bay leaves bunch of dill, stems only few sprigs parsley 3 garlic cloves, peeled, left whole ½ lemon, zest only 1 tsp black peppercorns 1 star anise 30g/1oz butter 1 onion, finely chopped 750g/1lb 10oz potatoes, cut into 2cm/¾in cubes  4 leeks, washed, sliced into rounds dill leaves salt and freshly ground black pepper 4 tsp crème fraîche  ",nordic
2-3 kg/4lb 8oz- 6lb 8oz crayfish 500ml/18fl oz bottle stout 100g/3½oz salt 2 tsp sugar bunch of dill crowns or dill leaves 1 tsp anise seeds or fennel seeds 150g/5½oz butter 1-2 tbsp truffle oil  salt ,nordic
