recipe,type
"2 tbsp olive oil  1 x 1kg/2lb 4oz leg of lamb, cut through the bone into 4 pieces 1 large onion, sliced   1 garlic clove 1½ tsp salt  1½ tsp black pepper 1½ tsp ground ginger 1½ tsp ground turmeric ½ tsp saffron strands small bunch fresh coriander small bunch fresh parsley  2 cinnamon sticks 250g/9oz dried apricots 250g/9oz dried prunes 4 tbsp caster sugar 1½ tsp ground cinnamon 2 tbsp vegetable oil 250g/9oz blanched almonds 3 tbsp toasted sesame seeds ",north_african
"140g/5oz pistachio kernels 20g/¾oz caster sugar ½ tsp ground cinnamon 4 sheets readymade filo pastry  cornflour, for dusting  75g/2½oz unsalted butter, melted 120g/4oz clear honey  25g/1oz caster sugar ½ lime, zest only 1 cinnamon stick 2 limes, zest removed in long, thin strips using a canelle knife  50g/1¾oz pistachio kernels, halved ",north_african
"750g/1lb 10oz braising steak (ideally chuck steak) 4 tbsp sunflower oil 2 onions, halved and sliced 2 garlic cloves, finely chopped 2 tsp ground cumin 2 tsp ground coriander 1 tsp hot chilli powder 400g/14oz can chopped tomatoes 400g/14oz can chickpeas, drained and rinsed 3 tbsp clear honey 1 beef stock cube 1 cinnamon stick 1 medium sweet potato (around 400g/14oz) 2 large eating apples 25g/1oz bunch fresh coriander 75g/2½oz no-soak dried prunes, halved flaked sea salt and freshly ground black pepper 1 large red-skinned eating apple 15g/½oz butter 1 tbsp clear honey ",north_african
"15g/½oz dried red chillies, soaked in cold water, drained and roughly chopped 50g/2oz fresh red chillies, seeds removed, roughly chopped 2 tsp ground cumin 2 tsp ground caraway seeds 1 tbsp smoked sweet paprika 2 garlic cloves 2 tbsp tomato purée 3 tbsp red wine vinegar 4 tbsp olive oil 800g/1lb 12oz rump steak, cut into large cubes 1 tbsp olive oil salt and freshly ground black pepper  2 red onions, cut into wedges 1 lemon, juice only 50g/2oz butter 2 tbsp olive oil 1 onion, finely chopped 1 garlic clove, finely chopped 275g/10oz basmati rice 1 lemon, zest and juice 450ml/16fl oz chicken stock salt and freshly ground black pepper  3 tbsp coriander leaves, roughly chopped ",north_african
"2 tbsp olive oil 1 onion, peeled, finely chopped 2 garlic cloves, peeled, finely chopped ½ tsp cayenne pepper 1 tsp ground ginger 1 tsp ground coriander 2 tsp ground cumin 1 cinnamon stick 1 tsp ground turmeric 1 butternut squash, peeled, seeds removed, cut into 1cm/½in cubes 200g/7oz tinned chopped tomatoes 200ml/7fl oz vegetable stock 3 preserved lemons, rind only, roughly chopped 1 tbsp clear honey salt and freshly ground black pepper  400g/14oz couscous 600ml/1 pint 2fl oz hot vegetable stock 2 lemons, zest only 100g/3½oz toasted flaked almonds 1 tbsp each chopped fresh parsley, chives and coriander 1 tbsp olive oil small handful coriander, to garnish  ",north_african
"50g/2oz butter 1 medium chicken, cut into 10 pieces 2 onions, finely chopped 3 garlic cloves, finely chopped 5cm/2in piece root ginger, grated 2 cinnamon sticks 2 tsp ras-el-hanout (North African spice blend) 1½ tsp salt 1 tsp freshly ground black pepper ½ tsp ground turmeric 1 tsp ground cinnamon ½ tsp saffron 1 preserved lemon, roughly chopped 3 tbsp honey 750ml/1 pint 5fl oz chicken stock 150g/7oz dates, stones removed, halved salt and freshly ground black pepper 2 tbsp chopped fresh flatleaf parsley 140g/5oz bulgur wheat, soaked in cold water overnight 1 red onion, finely chopped 2 tomatoes, seeds removed, finely diced 2 large bunches flatleaf parsley, roughly chopped 1 bunch mint, roughly chopped 1 bunch coriander, roughly chopped 1 lemon juice only 4 tbsp extra virgin olive oil ",north_african
"1 tbsp olive oil 4–6 large chicken thighs (around 750g/1lb 10oz), boneless 10g/½oz butter 2 onions, finely chopped 2 garlic cloves, finely chopped 1 tsp ground ginger ½ tsp ground cinnamon ½ tsp ground turmeric pinch of saffron 500ml/18fl oz chicken stock or water 3 large free-range eggs, beaten 75g/2½oz ground almonds or pistachios 75g/2½oz dried dates, finely chopped 1 tbsp orange blossom water 1 tsp finely grated orange zest 4 tbsp finely chopped fresh parsley 30g/1oz butter, melted 6 large sheets filo pastry 1 egg, beaten, to glaze salt and freshly ground black pepper 1 tbsp icing sugar, to garnish pinch of ground cinnamon, to garnish ",north_african
"2 medium onions, finely chopped 3-4 garlic cloves, finely chopped few sprigs fresh coriander, finely chopped ½ bunch fresh flatleaf parsley, finely chopped 4 tbsp olive oil ½ lemon, juice only salt and freshly ground black pepper 2 tsp ground ginger 5 tsp cinnamon ½ tsp ground turmeric 10 chicken legs, skinned, rinsed under cold running water and patted dry pinch saffron 1 chicken stock cube 150g/5½oz dried prunes 6 tbsp sugar 150g/5½oz dried apricots 100g/3½oz almonds, blanched, skinned and toasted ",north_african
"125g/4½oz green olives 100ml/3½fl oz olive oil 1 large onion, chopped 4 chicken breasts 2 garlic cloves, chopped 1 tsp ras-el-hanout (available in some supermarkets or specialist shops) ½g saffron threads 1 tsp ground ginger 1 tsp freshly ground black pepper 1 large preserved lemon, peel only, chopped 3 tsp chopped fresh coriander 1 tsp chopped fresh parsley vegetables, to serve ",north_african
"olive oil, for frying 6 large chicken thighs 1 onion, finely chopped 2 garlic cloves, finely chopped 5cm/2in piece fresh root ginger, grated ½ tsp saffron 1 tsp ground turmeric 1 tsp ground coriander 1 tbsp ras-el-hanout ½ cinnamon stick 500ml/18fl oz chicken stock 1 red chilli, finely sliced 2 tomatoes, roughly chopped 2 tbsp clear honey 2 tbsp roughly chopped mint leaves 2 tbsp roughly chopped coriander 25g/1oz butter  salt and pepper 150g/5½oz bulgur wheat, soaked in cold water overnight 3 tbsp roughly chopped mint  3 tbsp roughly chopped coriander ½ red onion, finely chopped 50g/1¾oz pistachio nuts, roughly chopped 100g/3½oz whole skinned almonds 100g/3½oz dried apricots, roughly chopped 1 pomegranate, seeds only 2 lemons, juice only ",north_african
