,name,ingredients,cuisine
0,Phat Thai,"400g thick, dried, flat rice noodle (banh pho), we used Thai Taste rice noodles from Waitrose 4 large garlic cloves , finely chopped 1 small bunch coriander , stems or roots finely chopped, leaves reserved 50ml vegetable oil 200g raw prawns , peeled 85g pickled turnips , chopped (optional) 1 tbsp sugar 3 eggs , beaten 2 tbsp oyster sauce 2 tbsp fish sauce 300g beansprouts juice 1 lime 1 bunch spring onions , sliced on the diagonal 100g roasted peanuts , crushed 3 red chillies , deseeded and finely chopped",thai-recipes
1,Thai coconut crumbed chicken traybake,"1 butternut squash , peeled, deseeded and cubed 1 large  aubergine , cubed 1 tbsp rapeseed oil 3 tbsp desiccated coconut 4 tbsp fresh  breadcrumb 4 skinless  chicken breasts 1 egg , beaten 300g cherry tomato 2 tbsp Thai red curry paste handful coriander leaves, roughly chopped lime wedges, to serve",thai-recipes
2,Lemongrass beef stew with noodles,"1 tbsp ginger , chopped 2 garlic cloves , chooped 3 stalks lemongrass , outer leaves removed, finely chopped 2 tbsp coriander leaves, plus extra to serve 2 red chillies , thinly sliced (leave the seeds in if you like it spicy) 2 tbsp vegetable oil 250g stewing beef , cut into 2.5cm cubes 2 tbsp dark soy sauce 1 tsp five spice powder 1 tsp brown sugar 400ml beef stock 100g wide rice noodle lime wedges, to serve",thai-recipes
3,Fragrant Thai drumsticks,"2 tbsp sweet chilli sauce grated zest 1 orange , plus 2 tbsp juice 1 garlic clove , crushed 1 tbsp good-quality  Thai red curry paste 8 chicken drumsticks , skin removed, the flesh slashed",thai-recipes
4,Skinny Thai burgers with sweet potato chips & pineapple salsa,"4 sweet potatoes , unpeeled and cut into chunky chips 1 tbsp olive oil 400-500g extra lean  minced pork or beef 2 tbsp Thai red curry paste 6 spring onions , chopped small bunch coriander , chopped 200g pineapple chunks, diced juice ½  lime 1 red chilli , deseeded and finely chopped 2 tbsp sweet chilli sauce , plus extra for dipping chips 1 Little Gem lettuce 4 buns , toasted",thai-recipes
5,Thai-style fish broth with greens,"100g brown rice noodle 500ml chicken or  fish stock 1 tbsp Thai red curry paste 4 dried or fresh kaffir lime leaves 1 tbsp fish sauce 200g skinless sustainable white fish , such as pollock 100g raw king prawn 2 pak choi , leaves separated handful coriander leaves",thai-recipes
6,"Pea, feta & quinoa spring rolls with roast tomato nam prik","50g quinoa 200g frozen petits pois 85g feta cheese , crumbled small bunch mint leaves, chopped 3 spring onions , finely chopped zest and juice 1 lemon 6 sheets filo pastry (270g pack) 1 egg , beaten sunflower oil , for frying 6 large tomatoes , halved 4 tbsp extra-virgin olive oil 1 garlic clove , chopped ½  red chilli , chopped 2 tsp grated ginger ½ bunch coriander including stalks, roughly chopped ¼ bunch mint leaves, roughly chopped 1 tbsp lime juice 1 tbsp tamarind paste 1 tsp palm sugar",thai-recipes
7,Thai-style chicken & sweet potato parcels,"25g creamed coconut (from a block) 2 tsp soft brown sugar 1 tsp fish sauce 2 tsp Thai green curry paste ½ sweet potato , peeled and cut into small cubes 1 small red pepper , deseeded and cut into small cubes 1 skinless chicken breast handful coriander leaves and a few lime wedges, to serve",thai-recipes
8,Thai squash soup,"1 onion , chopped 1 lemongrass stalk, bashed and shredded 1-2  red chillies , roughly chopped 1kg butternut squash , peeled and diced juice 1  lime 125ml coconut milk small bunch coriander , leaves picked",thai-recipes
9,Thai beef curry,"2-3 tbsp groundnut oil 2kg beef short ribs (bone-in ribs left whole), or brisket, cut into large chunks large bunch coriander 2 lemongrass stalks, 1 bashed, 1 roughly chopped 3 garlic cloves , chopped 1-2  green chillies , roughly chopped, deseeded if you like 2cm-piece galangal or ginger, peeled and chopped 50ml rice wine vinegar 50ml fish sauce 2 tbsp palm or light brown sugar 400g can  coconut milk 2 star anise 6 kaffir lime leaves juice 2  limes , plus wedges to serve",thai-recipes
