,name,ingredients,cuisine
0,Grilled lamb with wintry rice salad,"2 red onions 1 tsp cinnamon 1 tbsp olive oil 400g lean lamb steak 140g wild and  basmati rice handful mint , chopped handful parsley , chopped 120g pack fresh pomegranate seeds 50g chopped pistachio 50g dried cranberries juice ½ orange juice ½ lemon",turkish-recipes
1,Turkish delight vodka,"1l bottle vodka 1 tsp rosewater 1 tsp caster sugar 100g Turkish delight , chopped, plus a little extra for packaging",turkish-recipes
2,Roast aubergine with goat's cheese & toasted flatbread,"2 aubergines , thinly sliced lengthways 3 tbsp extra-virgin olive oil 12 cherry tomatoes , halved 1 Middle Eastern flatbread or pitta 3 tbsp balsamic vinegar handful mint leaves 2 shallots , 1 finely chopped, the other thinly sliced 1 red chilli , finely chopped 50g goat's cheese , crumbled handful wild rocket , to serve",turkish-recipes
3,Raspberry & rose trifles,"2 cubes Turkish delight , optional  500g pot good-quality vanilla custard ½ a 350g/12oz  bought madeira  loaf  300g pack  raspberry juice 1  orange 200ml tub  crème fraîche  (use reduced-fat if you like) handful  pistachios , roughly chopped ",turkish-recipes
4,Griddled aubergines with sesame dressing,"2 large aubergines , cut into 2cm slices 2 tbsp olive oil 250g full-fat Greek yogurt 3 tbsp tahini paste 1 large garlic clove , crushed juice 1 lemon handful chopped coriander , parsley and mint, plus extra leaves to serve",turkish-recipes
5,Sweet potato salad,"1.2kg sweet potato , peeled and cut into biggish chunks 1 tbsp olive oil 2 shallots (or half a small red onion), finely chopped  4 spring onions , finely sliced small bunch chives , snipped into quarters or use mini ones 5 tbsp sherry vinegar 2 tbsp extra-virgin olive oil 2 tbsp honey",turkish-recipes
6,Apricot & Turkish delight mess,"100g mascarpone 50g Greek yogurt 25g icing sugar , sifted 2 tbsp orange flower water 1 meringue nest, broken into rough pieces 3 apricots , stoned and chopped 2 cubes Turkish delight , orange flavoured if available, chopped 25g skin-on almonds , roughly chopped 4 mint leaves, shredded, plus extra to decorate (optional)",turkish-recipes
7,Lamb & apricot meatballs,"2 tbsp olive oil 2 red onions , very finely chopped 4 garlic cloves , crushed 2 tsp each ground cumin and coriander (or 4 tsp Moroccan spice blend) 400g can chopped tomatoes ½ tsp sugar ½ 20g pack mint , finely chopped 500g pack lean lamb mince 8 dried apricots , finely chopped 50g fresh breadcrumbs pitta bread and salad, to serve",turkish-recipes
8,Aubergine & hummus grills,"2 aubergines , thickly sliced lengthways 2 tbsp vegetable oil , plus extra for brushing 3 slices brown or white bread , crusts removed 300g tub  hummus 100g walnuts , toasted  half an 80g pack flat-leaf parsley , leaves roughly chopped 200g pack cherry tomatoes , quartered   juice ½  lemon splash extra-virgin olive oil",turkish-recipes
0,Turkish pizza with spiced pomegranate beef & feta,"500g pack  bread mix 1 tsp olive oil , plus a little extra for the dough 2 medium onions , chopped 2 garlic cloves , chopped 250g extra-lean  minced beef 2 tsp ground cumin 2 tsp ground cinnamon 1 tbsp red  chilli flakes 5 tbsp tomato purée 6 tbsp pomegranate molasses 400g pickled cherry peppers , roughly chopped 50g feta cheese , crumbled 1 tbsp pine nuts",turkish-recipes
1,Spiced lamb & feta gozleme with special tomato sauce,"7g sachet  fast-action dried yeast 1 tsp golden caster sugar 250g plain flour 2 tbsp olive oil 1 tbsp olive oil , plus extra to finish 500g pack lamb mince 2 garlic cloves , crushed 2 tsp ground cumin 2 tsp ground coriander 1 tsp ground cinnamon 1 tsp mild chilli powder 50g raisin zest 1  lemon 3 spring onions , finely sliced 50g toasted pine nut 100g feta cheese 8 tbsp tomato ketchup 2 tbsp pomegranate molasses 1 tbsp very finely chopped red onion",turkish-recipes
2,Imam bayildi with BBQ lamb & tzatziki,"3 aubergines 2 tbsp olive oil , plus extra for brushing 1 Spanish onion , finely chopped 2 garlic cloves , crushed 1 tsp cinnamon 8 ripe tomatoes , peeled small bunch flat-leaf parsley , chopped 12 lamb chops or cutlets paprika , for seasoning 1 lemon , halved 150g tub Greek yogurt ½ cucumber , seeds scooped out, grated 2 tbsp chopped mint",turkish-recipes
3,Turkish one-pan eggs & peppers (Menemen),"2 tbsp olive oil 2 onions , sliced 1 red or  green pepper , halved deseeded and sliced 1-2 red chillies , deseeded and sliced 400g can chopped tomatoes 1-2 tsp caster sugar 4 eggs small bunch parsley , roughly chopped 6 tbsp thick, creamy yogurt 2 garlic cloves , crushed",turkish-recipes
4,Grilled aubergines with spicy chickpeas & walnut sauce,"4 tbsp olive oil 1 onion , finely chopped 1 red chilli , deseeded and finely chopped 2cm piece  ginger , finely chopped ½ tsp each ground cumin , coriander and cinnamon 400g can chickpeas , rinsed and drained 200g tomatoes , chopped juice ½ lemon 2 aubergines , sliced lengthways 200g tub Greek-style yogurt 1 garlic clove , crushed 25g walnuts , chopped handful coriander leaves, roughly chopped",turkish-recipes
5,DIY kofta burgers,"1kg lamb mince 2 onions, coarsely grated 1 garlic bulb, broken into cloves and finely chopped or grated 6 tbsp garam masala bunch coriander, chopped (optional) 1 tbsp chilli sauce, plus extra to serve 8 pitta breads 4 tomatoes, halved and sliced half a red cabbage, shredded 1 red onion, sliced (optional) small pot plain yogurt",turkish-recipes
6,Hot cumin lamb wrap with crunchy slaw & spicy mayo,"4 small lamb leg steaks 2tsp olive oil 1 heaped tsp  ground cumin 1tbsp sugar 3tbsp white wine vinegar 2 carrots, coarsely grated 2 spring onions, finely sliced 400g white cabbage, very finely sliced 5 sweet peppadew peppers, 2 roughly sliced 3tbsp mayonnaise 4 large pitta or flatbreads, warmed",turkish-recipes
7,Smoked aubergine purée,"2 medium aubergines juice 1 lemon 2-3 garlic cloves , crushed 150ml pot thick yogurt small bunch dill , leaves chopped",turkish-recipes
8,"Slow-roast lamb with cinnamon, fennel & citrus","1 leg of lamb zest and juice 1 lemon and 1 orange 4 tbsp olive oil 2 tbsp clear honey 1 tbsp each of cinnamon , fennel seeds, ground cumin 3 garlic cloves , crushed",turkish-recipes
9,"Chicken wings with cumin, lemon & garlic","12 chicken wings 2 garlic cloves , crushed zest and juice 1 lemon 1 tsp cumin seed 2 tbsp olive oil 1 tbsp honey",turkish-recipes
10,Rose cream & raspberry jellies,"135g pack  raspberry jelly 500ml double cream 1 tsp rosewater 12 raspberries , halved drizzle of  clear honey small handful mint leaves 1 tbsp pistachio , chopped",turkish-recipes
11,Turkish lamb pilau,"small handful  pine nuts  or flaked almonds 1 tbsp  olive oil 1 large  onion , halved and sliced 2 cinnamon  sticks, broken in half 500g lean  lamb  neck fillet, cubed 250g basmati rice 1 lamb  or vegetable stock cube 12 ready-to-eat dried apricots handful fresh  mint  leaves, roughly chopped",turkish-recipes
12,Smoky chicken skewers,"6 boneless, skinless chicken thighs (about 500g/1lb 2oz) 2 tbsp olive oil 1 tsp fennel seed , crushed 1 tsp ground cumin 1 tsp sweet smoked paprika (pimenton) 1 garlic clove , crushed 1 tsp red wine vinegar smoky aïoli , to serve (see tips below)",turkish-recipes
