,name,ingredients,cuisine
0,Crunchy Asian cabbage & prawn salad,"250g/9oz Chinese cabbage 175g/60z white cabbage 2 celery sticks 2 carrots small handful mint , chopped small handful coriander , chopped 200g cooked large peeled prawn 4 tbsp roasted peanut , chopped 1-2 small red chillies , sliced 1 garlic clove , crushed 2 tbsp caster sugar 2 tbsp rice vinegar 3 tbsp lime juice 3 tbsp fish sauce",vietnamese-recipes
1,"Spiced chicken meatballs with noodles, basil & broth","1 large onion , roughly chopped thumb-size piece fresh root ginger 1-2 long red chillies , finely chopped (seeds in or out, you decide) 1 garlic clove , crushed 6 white peppercorns , crushed 20g pack coriander , stalks, roots if you have them and leaves, chopped and kept separate, plus sprigs to finish 50ml milk 100g fresh white breadcrumbs 1kg quality chicken mince 3 tbsp vegetable oil 1 ½l chicken stock 2 tbsp toasted sesame oil 3 tbsp fish sauce 6 star anise thumb-size piece fresh root ginger , sliced ½ tsp black peppercorns 8 spring onions , thinly sliced 300g egg noodles , cooked sliced chillies to taste (optional) 1 small bunch basil , leaves picked",vietnamese-recipes
2,"Sea bass with sizzled ginger, chilli & spring onions","6 x sea bass  fillets, about 140g/5oz each, skin on and scaled  about 3 tbsp sunflower oil large knob of ginger, peeled and shredded into matchsticks 3 garlic cloves, thinly sliced 3 fat, fresh red chillies deseeded and thinly shredded  bunch spring onion, shredded long-ways 1 tbsp soy sauce",vietnamese-recipes
3,Salmon noodle wraps,"100g rice noodle 2-3   spring onion , sliced  50g fresh or frozen petits pois 85g Chilli, coriander & lime  butter  (See 'Goes well with' below for the recipe) 2 x 150g salmon fillets",vietnamese-recipes
4,Minty Asian chicken salad,"250g pack thin  rice noodle 2 cooked skinless chicken breasts , shredded ½  cucumber , halved and sliced 3 spring onions , sliced 1  red chilli , finely chopped 4 tbsp soy or fish sauce zest and juice 1 lime 2 tsp  sugar 20g pack  mint , leaves only, roughly chopped",vietnamese-recipes
5,Asian pork with rice noodle salad,"1 tsp lemongrass  paste  (we used Bart's) 1 tsp  finely-grated fresh root  ginger ½ red  chilli , finely chopped 1 tsp sunflower oil 3 tbsp fish sauce 4 pork chops 200g  thin  rice noodle zest and juice 1  lime ½ tsp  caster sugar ½  cucumber handful chopped  mint  leaves ",vietnamese-recipes
0,Hot & sour fish soup,"1 tsp coriander seeds small piece ginger or galangal, sliced 850ml chicken or fish stock 175g thin rice noodles 2 tbsp fish sauce 2 fat red chillies , deseeded and thinly sliced 3 garlic cloves , thinly sliced 300g raw, tail-on tiger prawns 200g/7oz skinless salmon fillet , cut into small cubes 4 spring onions , chopped handful coriander leaves handful mint leaves , torn juice 2 limes",vietnamese-recipes
1,Vietnamese chicken baguettes          (Bhan Mi),"1 small  chicken breast 1 tsp olive oil 1 tsp rice vinegar ½ tsp golden caster sugar juice ½  lime ½ small carrot , peeled and grated 2 spring onions , thinly sliced 2½cm/1in piece cucumber , deseeded and sliced ½ red chilli , thinly sliced into rounds 1 sandwich baguette 3-4  Little Gem lettuce leaves, washed 1-2 tbsp sweet chilli sauce",vietnamese-recipes
2,Vietnamese lamb shanks with sweet potatoes,"2 tbsp groundnut oil 4 lamb shanks , about 350g each 2 onions , halved and cut into half moons 2 tbsp finely chopped fresh root ginger 3 garlic cloves , finely sliced 2 red chillies , both deseeded, one chopped and one thinly sliced 1 tbsp soft brown sugar , plus 1 tsp 3 star anise 2 lemongrass  stalks, tough outer leaves removed, then bruised 1.2l lamb stock 1 ½ tbsp tomato purée 4 sweet potatoes , peeled and cut into big chunks 2 tbsp fish sauce juice 2 limes big handful mint  leaves, torn handful basil leaves",vietnamese-recipes
3,Vietnamese chicken salad,"140g Thai rice noodle 1 carrot ½  cucumber 2 cooked  chicken breasts , shredded 50g radish , thinly sliced ½ red onion , finely sliced small bunch mint , leaves picked 25g natural roasted  peanut , roughly chopped 1 small red chilli , deseeded and finely chopped zest and juice 1  lime 1 ½ tbsp each fish sauce, low-sodium soy sauce and  sesame oil",vietnamese-recipes
4,Salt & pepper squid,"85g cornflour 85g plain flour 2 tsp black pepper , cracked 2 tbsp ground Szechuan peppercorns , roughly crushed sunflower or vegetable oil , for frying 400g squid , cleaned and cut into strips (see tips, below) finely sliced spring onion and green chilli, to serve 1 red chilli , finely chopped half cucumber , finely diced 1 small red onion , finely chopped 100ml rice wine vinegar 1 tbsp caster sugar 2 tsp fish sauce",vietnamese-recipes
5,Chinese spiced duck salad,"1 duck leg 1 tsp Chinese five-spice powder 140g rice noodles 1 celery stick, cut into matchsticks 1 carrot , cut into matchsticks ½ cucumber , deseeded and cut into matchsticks 2 spring onions , sliced lengthways 2 tbsp hoisin sauce 1 tbsp soy sauce",vietnamese-recipes
6,Salmon noodle soup,"1l low-salt chicken stock 2 tsp Thai red curry paste 100g flat rice noodle 150g pack shiitake mushroom , sliced 125g pack baby corn , sliced 2 skinless salmon fillets , sliced juice 2 limes 1 tbsp reduced-salt soy sauce pinch brown sugar small bunch coriander , chopped",vietnamese-recipes
7,Vietnamese veggie hotpot,"2 tsp vegetable oil thumb-size piece fresh root ginger , shredded 2 garlic cloves , chopped ½ large butternut squash , peeled and cut into chunks 2 tsp soy sauce 2 tsp soft brown sugar 200ml vegetable stock 100g green bean , trimmed and sliced 4 spring onions , sliced coriander leaves and cooked basmati or jasmine rice, to serve",vietnamese-recipes
8,Vietnamese seafood salad,"400g pack cooked seafood mix 300g pack cooked thin rice noodles 300g pack cooked beansprouts 3 carrots , thinly sliced 1 bunch spring onions , sliced lengthways bunch mint and coriander, leaves chopped 5 tbsp rice wine vinegar 1 tsp caster sugar 1 red chilli , chopped 1 stick lemongrass , sliced 1 tbsp low sodium soy sauce",vietnamese-recipes
9,Vietnamese prawn summer rolls,"2 garlic cloves , finely chopped 1 small red chilli (deseeded if you don't like it too hot), finely chopped 1 tbsp finely chopped ginger 1 tbsp golden caster sugar 3 tbsp fish sauce juice 1  lime 100g vermicelli rice noodle or bean thread noodles 12 x 20cm round  rice paper wrappers (see tip, below) handful  mint leaves 18 cooked prawns , cut in half lengthways 2-3 large iceberg lettuce leaves, torn into 12 pieces 1 carrot , cut into thin batons a handful  coriander a handful Thai basil a handful long chives 50g beansprout",vietnamese-recipes
10,Vietnamese caramel trout,"50g golden caster sugar 1 tbsp Thai fish sauce 1 red chilli , finely sliced large piece of  ginger , finely sliced 2 rainbow trout fillets 2 heads bok choi , halved juice ½ lemon coriander sprigs steamed rice , to serve",vietnamese-recipes
11,Bang bang prawn salad,"140g flat rice noodles 3 tbsp crunchy peanut butter 4 tbsp half-fat coconut milk 3 tbsp sweet chilli sauce 3 spring onions , sliced 1 cucumber , peeled, halved lengthways, deseeded and sliced 300g pack beansprouts 200g pack cooked peeled prawn",vietnamese-recipes
12,Vietnamese prawn salad,"1 small garlic clove , finely chopped 1 small red chilli , deseeded and finely chopped 1 tbsp golden caster sugar juice 2 limes 250g thin rice noodles 150g pack cooked tiger prawns , halved along their spine ½ cucumber , peeled, deseeded and cut into matchsticks 1 carrot , cut into matchsticks or grated 6 spring onions , shredded handful coriander and/or mint leaves 1 tbsp roasted peanuts , chopped",vietnamese-recipes
13,"Tofu, greens & cashew stir-fry","1 tbsp vegetable oil 1 head broccoli , cut into small florets 4 garlic cloves , sliced 1 red chilli , deseeded and finely sliced 1 bunch spring onions , sliced 140g soya bean 2 heads pak choi , quartered 2 x 150g packs marinated tofu pieces 1 ½ tbsp hoisin sauce 1 tbsp reduced-salt soy sauce (add extra to suit your own taste) 25g roasted cashew nuts",vietnamese-recipes
14,Prawn spring roll wraps,"1 bundle dried thread rice noodles (about 60g) 1 tbsp sunflower oil 300g pack fresh stir-fry vegetable - go for a leafy mix half finger-length fresh root ginger , grated small bunch coriander , stalks finely sliced, leaves roughly chopped 200g raw peeled prawn , halved 2 tbsp sweet chilli sauce , plus extra to serve 8 small sheets filo pastry 1 tbsp sesame seeds (optional)",vietnamese-recipes
15,Vietnamese veg parcels,"2 x 50g pack  rice  flour pancakes 50g thin rice  noodles 1 cooked skinless chicken breast , shredded 1 carrot , finely sliced ½ cucumber , finely shredded 1 red  pepper , deseeded and finely sliced Baby Gem lettuce , coriander and mint leaves, to serve 4 tbsp  Thai fish sauce 2 tbsp  rice wine  vinegar squeeze lime 1 red chilli , deseeded and finely sliced",vietnamese-recipes
16,Barbecue pork buns,"85g sugar 500g pack  white bread  mix 1 tbsp sunflower oil 12 rashers  streaky bacon  unsmoked bacon or pancetta, chopped knob ginger , peeled and chopped 2 garlic cloves , chopped  2 tbsp soy sauce 3 tbsp clear honey 3 tbsp tomato purée 1 egg  beaten, to glaze",vietnamese-recipes
17,Vietnamese prawn & noodle salad with crispy shallots,"200g thin rice noodle 200g large cooked, peeled prawn 1 small red onion , halved and sliced 1 small red chilli , sliced 1 small cucumber , shaved into ribbons (use a peeler) 1 large handful each coriander and mint 2 tbsp roasted peanut , roughly chopped juice 3 limes 1 tbsp soft brown sugar 2 tsp fish sauce 1 garlic clove , crushed 5 shallots , thinly sliced vegetable oil , for frying flour , for dusting",vietnamese-recipes
18,Asian noodle & turkey soup,"1 ½l turkey or chicken stock thumb-size piece root ginger , peeled and sliced 2 star anise 1 cinnamon stick 3 cloves 200g dried rice noodles , any type 2-3tbsp fish sauce 2 limes , one juiced, one for wedges 400g roast turkey , shredded 100g bag beansprouts bunch coriander bunch mint 4 spring onions , thinly sliced 2 red chillies , sliced (leave the seeds in if you like it hot)",vietnamese-recipes
19,Crunchy prawn noodle salad,"100g rice noodle 100g sugar snap pea , shredded 2 carrots , coarsely grated 100g baby spinach 85g peeled, cooked prawn , defrosted if frozen 1 red chilli , deseeded and finely chopped 3 tbsp rice vinegar 1 tsp caster sugar 1 tsp fish sauce 1 tbsp roughly chopped mint",vietnamese-recipes
20,Noodle bowl salad,"½ x 250g pack medium  rice noodles 200g sugar snap peas , sliced lengthways 2 tsp  sesame oil 4 spring onions , thinly sliced diagonally pack  coriander , roughly torn 150g pack hot smoked flaked  salmon  pretzel or  bread  roll, to serve 3 tbsp soy sauce 1 tbsp clear  honey 1 tbsp  lemon juice 1 tbsp groundnut or  sunflower oil 1 plump garlic clove , finely grated knob  root ginger , coarsely grated",vietnamese-recipes
21,Asian prawn & pineapple salad,"1 small pineapple or 350g pineapple chunks 140g beansprout 250g cooked king prawn ½ cucumber , peeled, deseeded and sliced on the angle 200g cherry tomatoes , halved handful mint leaves, very roughly chopped 50g unsalted cashew , toasted if you like ½ red chilli , deseeded and sliced 1 garlic clove 1 tsp golden caster sugar juice 2 limes 1½ tsp fish sauce",vietnamese-recipes
22,"Tangy carrot, red cabbage & onion salad","4 carrots , cut into thin sticks or grated ½ red cabbage , finely shredded 2 small red onions , finely sliced handful mint leaves handful coriander leaves handful toasted peanuts , roughly chopped juice 2 limes 1 tbsp groundnut oil 1 red chilli , deseeded and finely chopped 1 tbsp soft brown sugar",vietnamese-recipes
