,name,ingredients,cuisine
0,Blood orange & dark chocolate madeleines,"100g unsalted butter , plus extra for greasing 2 large eggs 100g golden caster sugar zest 2 blood oranges plus juice of 1/2 (about 2 tbsp) 100g plain flour , plus extra for dusting 1 tsp baking powder 140g dark chocolate (60-70% cocoa solids), finely chopped blood orange dust (optional - see below)",french-recipes
1,Steak haché with pommes frites & cheat's Béarnaise sauce,"1 tbsp vegetable oil 4 shallots , very finely chopped 600g freshly ground beef (ask the butcher for something with roughly 15% fat - we used chuck) 8 thyme sprigs , leaves picked and chopped 2 tsp Dijon mustard 2 tbsp plain flour 200ml crème fraîche 1 egg yolk 6 tarragon sprigs, leaves picked and finely chopped dressed green salad , to serve 4 large baking potatoes (such as Maris Piper or Russet), peeled 2 tbsp vegetable oil",french-recipes
2,French toast,"2 large eggs 80ml whole milk 40ml double cream 1 tsp vanilla extract ½ tsp cinnamon 4 thick slices brioche 2 tbsp vegetable oil 2 tbsp butter icing sugar and fresh berries, to serve (optional)",french-recipes
3,Macarons,"170g icing sugar 160g ground almonds 120ml egg whites from about 4 medium eggs, separated into 2 equal batches 160g granulated sugar ½ tsp red food colouring (see tip) 120g double cream 110g dark chocolate, finely chopped 25g unsalted butter, room temperature 75g raspberry jam",french-recipes
4,Baked ratatouille & goat’s cheese,"4 tbsp olive oil 2 red onions , chopped 2 garlic cloves , finely chopped 2 aubergines , diced 2 red peppers , seeded and diced 1 tsp smoked paprika 2 tbsp balsamic vinegar 1 tsp soy sauce 500ml passata 200g young goat’s cheese 4 courgettes (a mixture of green and yellow looks nice), thinly sliced 400ml milk 50g unsalted butter 50g plain flour 80g parmesan or vegetarian alternative, finely grated",french-recipes
5,Croissants,"500g strong white flour, plus extra for dusting 1 ½ tsp salt 50g sugar 2 x 7g sachets fast-action dried yeast oil, for greasing 300g butter, at room temperature 1 egg, beaten",french-recipes
6,Classic crêpes,"140g plain flour 200ml whole milk 2 eggs 25g unsalted butter, melted, plus a little extra for greasing",french-recipes
7,Coq au vin,"1½ tbsp olive oil 3 rashers (100g) dry-cured, smoked back bacon, fat trimmed, chopped 12 small shallots, peeled 2 free-range chicken legs (460g), skin removed 4 free-range chicken thighs with bone and skin (650g), skin removed 2 free-range, skinless, boneless chicken breasts (280g) 3 garlic cloves, finely chopped 3 tbsp brandy or Cognac 600ml red wine 150ml good-quality chicken stock 2 tsp tomato purée 3 thyme sprigs, 2 rosemary sprigs and 2 bay leaves, to make a bouquet garni small handful chopped flat-leaf parsley, to garnish 1½ tbsp olive oil 250g chestnut mushrooms, halved if large 2 tbsp plain flour 1½ tsp olive oil 1 tsp softened butter",french-recipes
8,Ultimate French omelette,"3 eggs , as fresh as possible, preferably organic and free-range, room temperature 2 knobs unsalted butter 1 tsp finely, freshly grated parmesan (or vegetarian alternative) 2-3 chopped tarragon  leaves 1 tbsp each snipped chives and chopped chervil  or parsley 3 rounded tbsp finely grated gruyère",french-recipes
9,Tarte tatin,"300g all-butter puff pastry plain flour, for dusting 6 dessert apples (about 900g/2lb), such as Braeburn, Cox’s Orange Pippin or Adam’s Pearmain 100g golden caster sugar 85g unsalted butter (60g/21/4oz chilled and diced, 25g/1oz melted) crème fraîche (full-fat please!) or high-quality vanilla ice cream, to serve",french-recipes
