,name,ingredients,cuisine
0,Lamb kleftiko,"6 garlic cloves 3 tbsp roughly chopped oregano 1 tbsp roughly chopped rosemary zest 1 lemon and juice of 2 ½ tsp ground cinnamon 3 tbsp olive oil 2kg leg of lamb 1kg Desiree potato, halved or quartered 5 bay leaves 250g Greek yogurt juice ½ lemon 1 tbsp olive oil handful mint, shredded 1 ½ tsp red wine vinegar 1 ½ tbsp extra-virgin olive oil 100g baby spinach small bunch parsley, roughly chopped ½ red onion, finely sliced 175g cherry tomatoes, halved ½ cucumber, halved lengthways, deseeded and sliced 75g black Kalamata olives, stoned and quartered",greek-recipes
1,"Artichoke, aubergine & lamb moussaka","olive oil , for frying 1kg lamb mince 2 large onions , finely chopped 3 garlic cloves , chopped 2 x 395g cans cherry tomatoes  in thick juice 2 bay leaves 1 cinnamon stick ½ tsp dried oregano pinch of sugar 2 medium aubergines 700g large potatoes 2 x 390g cans artichoke hearts, drained really well (see tip) 100g butter 100g plain flour 900ml milk very generous grating of nutmeg 125g grated gruyère 25g grated parmesan 3 medium eggs, lightly beaten",greek-recipes
2,Greek-style roast fish,"5 small potatoes (about 400g), scrubbed and cut into wedges 1 onion, halved and sliced 2 garlic cloves, roughly chopped ½ tsp dried oregano or 1/2 tbsp chopped fresh oregano 2 tbsp olive oil ½ lemon, cut into wedges 2 large tomatoes, cut into wedges 2 fresh skinless pollock fillets (about 200g) small handful parsley, roughly chopped",greek-recipes
3,Moussaka,"6 tbsp olive oil 3 medium aubergines, cut into 5mm rounds 800g lamb mince 1 onion, finely chopped 2 fat garlic cloves, crushed 3 heaped tsp dried oregano 2 tsp ground cinnamon 2 bay leaves 200ml red wine 400g can chopped tomatoes 2 tbsp tomato purée ½ tbsp light brown soft sugar 550g Maris Piper potatoes, peeled and sliced into 5mm rounds 40g unsalted butter 40g plain flour 450ml whole milk 40g parmesan, finely grated whole nutmeg, for grating 1 large egg plus 1 yolk, lightly beaten",greek-recipes
4,Greek lamb with potatoes & olives,"800g medium-size potatoes , skin on, thinly sliced  4 large tomatoes , thinly sliced 1 aubergine , thinly sliced 4 garlic cloves , chopped 3 tbsp oregano leaves, plus extra for sprinkling 85g pitted Kalamata olives , halved 5 tbsp olive oil , plus a drizzle 100g feta cheese , crumbled 4 lamb steaks",greek-recipes
5,Spicy lamb & feta skewers with Greek brown rice salad,"300g brown basmati rice 500g lamb mince 1 tbsp harissa 50g feta cheese 1 large red onion , ½ thinly sliced, ½ grated large handful parsley , roughly chopped large handful mint , roughly chopped 85g pitted  black kalamata olive , quartered 1 cucumber , diced 300g cherry tomato , halved 1 tbsp olive oil juice 1 lemon",greek-recipes
6,Greek lamb meatballs,"2 tbsp olive oil 500g lamb meatballs 300g baby new potatoes, thickly sliced 2 large garlic cloves, crushed 185g chargrilled vegetables, drained if in oil 2 x 400g cans chopped tomatoes with herbs 2 tsp light brown soft sugar 100g black olives 40g feta, crumbled ½ small bunch mint, finely shredded 1 lemon, zested",greek-recipes
7,Lamb burgers with tzatziki,"25g bulghar wheat 500g extra-lean lamb mince 1 tsp ground cumin 1 tsp ground coriander 1 tsp smoked paprika 1 garlic clove , very finely crushed (optional) oil , for brushing large burger buns , sliced tomato and red onion, to serve 5cm piece  cucumber , deseeded and coarsely grated 200g pot thick Greek yogurt 2 tbsp chopped mint , plus a handful of leaves to serve",greek-recipes
8,Griddled chicken with quinoa Greek salad,"225g quinoa 25g butter 1 red chilli, deseeded and finely chopped 1 garlic clove, crushed 400g chicken mini fillets 1½ tbsp extra-virgin olive oil 300g vine tomato, roughly chopped handful pitted black Kalamata olive 1 red onion, finely sliced 100g feta cheese, crumbled small bunch mint leaves, chopped juice and zest ½ lemon",greek-recipes
9,Tzatziki,"½ cucumber, halved and deseeded 170g pot Greek yogurt 1 small garlic clove, crushed handful mint leaves, chopped",greek-recipes
10,Greek lamb & macaroni bake,"1 tbsp olive oil 1 large onion, chopped 2 garlic cloves, crushed 500g lean lamb mince 1 tsp ground cinnamon 1 beef or lamb stock cube 2 x 400g cans chopped tomatoes 1 tbsp dried oregano 400g macaroni 250g tub ricotta 50g parmesan, grated 50ml milk garlic bread, to serve (optional)",greek-recipes
11,Slow-cooked Greek lamb,"shoulder of lamb , about 2kg 1 garlic bulb , cloves separated but the skin left on about 30g anchovies 2 tbsp olive oil 10 tomatoes , left whole 6 carrots , peeled but left whole handful fresh sage handful fresh rosemary handful fresh thyme tzatziki , chickpea salad and flatbreads, to serve",greek-recipes
12,Greek beans with seared lamb,"500g lamb fillet 1 ½ tbsp olive oil 3 garlic cloves , crushed 1 large onion , chopped 2 tbsp tomato purée small bunch  dill , most chopped 1 tbsp red wine vinegar 500ml chicken stock 2 x 400g cans gigante or  butter beans , drained 2 tbsp crumbled  feta cheese",greek-recipes
13,Marinated feta in thyme & chilli oil,"100ml olive oil 2 tbsp fresh  thyme leaves , plus a few extra for scattering 4 garlic cloves , sliced ¼ tsp dried chilli flakes 140g semi-dried tomato in olive oil, drained 175g pack or jar  artichoke heart in oil 2 x 200g packs feta cheese 85g Kalamata olive",greek-recipes
