,name,ingredients,cuisine
0,Cannoli,"150g plain flour 1 tbsp golden caster sugar large pinch bicarbonate of soda ½ tsp cinnamon 1 tsp cocoa powder (optional) 30g butter 1 egg, separated 50ml dry marsala or white wine rapeseed oil or sunflower oil for deep-frying (see tip) 50g dark chocolate, melted handful pistachio kernels, finely chopped icing sugar, to dust 250g ricotta, drained and beaten until fluffy 100g mascarpone 2 tbsp finely chopped candied peel 2 tbsp icing sugar cannoli moulds (available to buy online)",italian-recipes
1,Pizza Margherita in 4 easy steps,"300g strong bread flour 1 tsp instant yeast (from a sachet or a tub) 1 tsp salt 1 tbsp olive oil, plus extra for drizzling 100ml passata handful fresh basil or 1 tsp dried 1 garlic clove, crushed 125g ball mozzarella, sliced  handful grated or shaved parmesan (or vegetarian alternative) handful of cherry tomatoes, halved   handful of basil leaves (optional)",italian-recipes
2,Arancini balls,"2 tbsp olive oil 15g unsalted butter 1 onion, finely chopped 1 large garlic clove, crushed  350g risotto rice 150ml dry white wine 1.2l hot chicken or veg stock 150g parmesan, finely grated 1 lemon, finely zested  150g ball mozzarella, chopped into 18 small pieces   vegetable oil, for deep-frying  150g plain flour 3 large eggs, lightly beaten  150g fine dried breadcrumbs (panko works well)",italian-recipes
3,Braised rabbit pappardelle,"2 tbsp olive oil 1 wild  rabbit , jointed (ask your butcher to do this for you) 4 rashers smoked streaky bacon , chopped 1 small  red onion , finely chopped 1 carrot , finely chopped 3 garlic cloves , crushed 2 rosemary sprigs, leaves picked and chopped 1 tbsp tomato purée 150ml white or  rosé wine 500ml chicken stock 500g pappardelle pasta zest ½ orange 1 tbsp Dijon mustard 100ml double cream small bunch flat-leaf parsley , chopped, plus a few leaves picked to serve grated parmesan , to serve",italian-recipes
4,Focaccia,"500g strong bread flour , plus extra for dusting  7g dried fast action yeast 2 tsp fine sea salt 5 tbsp olive oil , plus extra for the tin and to serve 1 tsp flaky sea salt ¼ small bunch of rosemary , sprigs picked ",italian-recipes
5,Affogato,12 scoops good-quality vanilla ice cream 6 shots hot espresso coffee,italian-recipes
6,Fig & prosciutto pizzettas,"knob of  butter 3 shallots , finely diced 250g full-fat  crème fraîche 50g parmesan , finely grated 4 ripe figs , cut into chunks 125g ball good-quality buffalo mozzarella , roughly torn 2 handfuls rocket 6 slices  prosciutto , torn into strips 2 tbsp extra-virgin olive oil 2 tbsp good balsamic vinegar 400g strong white bread flour , plus extra for dusting 7g sachet fast-action dried yeast 1 tsp salt 4 tbsp olive oil",italian-recipes
7,Aubergine rolls with spinach & ricotta,"2 aubergines , cut into thin slices lengthways 2 tbsp olive oil 500g spinach 250g tub ricotta grating of  nutmeg 350g jar tomato sauce 4 tbsp fresh breadcrumb 4 tbsp parmesan (or vegetarian alternative)",italian-recipes
8,"Gnocchi with parsley, butter & samphire","900g floury potatoes , roughly the same size or halved if large, unpeeled 50g salted butter 1 medium egg , beaten 225-280g plain white flour 100g salted butter 6 shallots , finely sliced 3 garlic cloves , finely chopped 200g samphire 2 small packs parsley , chopped",italian-recipes
9,Apricot & ratafia sponge cake,"200g softened butter , plus extra for the tin 200g caster sugar 200g self-raising flour 1 tsp baking powder 4 large eggs ½-1 tsp almond essence (optional) 410g can apricot halves in natural juice, drained, 100g roughly chopped, remainder halved 85g ratafia or amaretti biscuit (keep ratafias whole or break the amaretti) 25g flaked almond",italian-recipes
10,"Chocolate, pistachio & nougat semifreddo","butter , for the tin 75g golden caster sugar 4 medium eggs 250g dark chocolate , finely chopped 450ml double cream 140g hard  nougat or torrone, chopped into 0.5cm chunks 50g pistachio , roughly chopped",italian-recipes
11,Italian stuffed chicken,"2 tbsp chopped olives or sundried tomatoes - whatever you've got 1 garlic clove , crushed ½ tsp dried mixed herbs 200g tub full-fat soft cheese 4 plump boneless, skinless chicken breasts 4 ripe tomatoes , sliced olive oil , for drizzling",italian-recipes
12,Roast red wine lamb with Italian beans,"2kg leg of  lamb 4 garlic cloves , sliced  8 good sprigs thyme 5 tbsp olive oil half a  bottle red wine zest 1 lemon 1l hot lamb stock 3 red onions , each cut into 6 wedges 2 tbsp balsamic vinegar 2 rosemary , needless roughly chopped 100g SunBlush tomato , drained and roughly chopped 3 x 400g  cannellini beans handful  flatleaf parsley , roughly chopped",italian-recipes
13,Taleggio tart with walnut pastry,"200g plain flour , plus extra for dusting 50g walnuts (shelled weight) 50g cold butter , chopped into small pieces 25g vegetarian hard cheese (or Parmesan if you’re not making a strictly vegetarian version), grated 1 medium egg , beaten 1 tbsp olive oil 6 shallots , sliced 3 large garlic cloves , finely chopped 1 whole egg and 2 egg yolks 200ml double cream 140g vegetarian Taleggio , rind removed, cut into 1cm/1/2in chunks 1 punnet cress zest 1 lemon , plus extra to serve",italian-recipes
14,Plum & amaretti semifreddo,"450g ripe purple plum , halved and stoned 350g caster sugar 2 large egg whites 300ml double cream 1 tbsp Disaronno liqueur 85g soft amaretti biscuit , roughly broken up",italian-recipes
15,Nettle gnudi with wild pesto,"2 x 250g tubs good-quality ricotta 200g young nettle leaves (foraged - see tip) 50g parmesan (or vegetarian alternative), plus extra to serve 2 egg yolks nutmeg , for grating 350g semolina flour or fine semolina 6 tbsp wild pesto (see recipe in Goes well with)",italian-recipes
16,Wild garlic butter on music paper bread,"200g '00' flour , plus extra for dusting 100g semolina flour or fine semolina olive oil , for brushing 8 slices wild garlic butter (see recipe in Goes well with), to serve flaky sea salt , to serve",italian-recipes
17,Lamb tagliata with watercress & tomatoes,"handful fresh rosemary , needles chopped 2 tbsp extra-virgin olive oil 4 thick British boneless  lamb leg steaks or steaks cut from lamb rumps (about 450g/1lb in total) 250g British  baby plum tomato 1 tbsp redcurrant jelly 2 tbsp balsamic vinegar 2 tbsp caper , drained and rinsed 100g bag British  watercress , thick stems removed 100g feta cheese , crumbled good crusty bread , to serve",italian-recipes
18,New potato & rosemary focaccia,"250g new potatoes (we used Jersey Royals) 7g sachet fast-action dried yeast 8 tbsp olive oil , plus extra for greasing 500g strong white bread flour , plus extra for kneading and dusting small pack rosemary",italian-recipes
19,Artichoke & olive calzones,"1 tbsp olive oil 390g can artichoke hearts in water, drained and sliced 4 rosemary sprigs, leaves only, chopped ½ x 250g tub ricotta 2 garlic cloves , crushed 300g bread mix 75g green olives , sliced 125g ball mozzarella , diced mixed leaves , to serve",italian-recipes
20,Blackberry zabaglione,400g blackberries 140g golden caster sugar 6 egg yolks 1 vanilla pod 3 tbsp marsala or sweet wine,italian-recipes
21,Pappardelle with rabbit & chestnut ragu,"2 tbsp rapeseed or olive oil 1 rabbit , jointed (ask your butcher to do this for you) 2 tbsp plain flour 200g smoked bacon lardons 1 onion , finely chopped 1 carrot , finely chopped 1 celery stick, finely chopped 2 garlic cloves , crushed 1 tsp ground cinnamon 1 tsp juniper berries , crushed using a pestle and mortar 3 bay leaves , scrunched up in your hand to release the flavour 2 rosemary sprigs, leaves picked and chopped 200ml red wine 1 chicken stock cube 2 x 400g cans chopped tomatoes 200g cooked chestnuts , roughly chopped 400g pappardelle 3 tbsp milk zest 0.5 orange or 1 clementine small bunch parsley , chopped parmesan , to serve (optional)",italian-recipes
22,Torta del Nonna,"280g plain flour 175g cold unsalted butter , cut into cubes 75g icing sugar , plus extra for dusting 2 egg yolks , lightly beaten 1l full-fat milk 1 vanilla pod , split 8 large egg yolks 250g golden caster sugar 85g '00' flour 100g ricotta zest 2 oranges 200g bar dark chocolate , grated 75g pine nuts",italian-recipes
