,name,ingredients,cuisine
0,Japanese ramen noodle soup,"700ml chicken stock 3 garlic cloves, halved 4 tbsp soy sauce, plus extra to season 1 tsp Worcestershire sauce thumb-sized piece of ginger, sliced ½ tsp Chinese five spice pinch of chilli powder 1 tsp white sugar (optional) 375g ramen noodles 400g sliced cooked pork or chicken breast 2 tsp sesame oil 100g baby spinach 4 tbsp sweetcorn 4 boiled eggs, peeled and halved 1 sheet dried nori, finely shredded sliced green spring onions or shallots sprinkle of sesame seeds",japanese-recipes
1,Japanese-style bento box,"100g fresh  edamame in the pods (or frozen soya beans) handful of a favourite  fruit , such as fresh pineapple, blueberries or strawberries 100g sushi rice 1 tbsp rice vinegar ½ tsp golden caster sugar 1 sheet  nori 1 smoked mackerel fillet, about 75g, flaked 1 tbsp light  mayonnaise 2 spring onions , chopped pea-sized blob wasabi (optional) ¼ red pepper , thinly sliced lengthways, about 6 slices",japanese-recipes
2,Japanese rice/gohan,"300g sushi rice 200ml dashi (optional) 1 tbsp mirin pickles , nori, katsuobushi flakes (see tip below), sliced spring onions, to serve (optional)",japanese-recipes
3,Miso soup,"5g dried wakame seaweed 1l dashi (shop bought or see tip) 200g fresh silken tofu , or firm if you prefer, cut into 1cm cubes 2 tbsp white miso paste 3 tbsp red miso paste spring onion , finely chopped, to serve  ",japanese-recipes
4,Katsu curry,"4 tbsp rapeseed oil or vegetable oil 2 x 200g pouches cooked rice (we used brown basmati) ½ large cucumber, peeled into ribbons handful mint leaves or coriander leaves, or both lime wedges, to serve 1 tbsp rapeseed oil or vegetable oil 2 onions, chopped 2 large carrots, chopped, plus 1 peeled into ribbons 2 garlic cloves, crushed thumb-sized piece ginger, peeled and grated or finely chopped 1 tbsp curry powder, mild or medium depending on your spice tolerance ½ tsp ground turmeric 400ml can  coconut milk 2 tsp maple syrup (or use honey if not cooking for vegans) 1 tbsp cornflour 8 chicken mini fillets, or a 280-300g block firm tofu, or half and half 200g breadcrumbs (gluten-free if necessary)",japanese-recipes
5,Sushi rice,"1 cup sushi rice (about 220g) sushi rice seasoning, to taste (optional) ",japanese-recipes
6,Veggie yaki udon,"1½ tbsp sesame oil 1 red onion , cut into thin wedges 160g mangetout 70g baby corn , halved 2 baby pak choi , quartered 3 spring onions , sliced 1 large garlic clove , crushed ½ tbsp mild curry powder 4 tsp low-salt soy sauce 300g ready-to-cook udon noodles 1 tbsp pickled sushi ginger , chopped, plus 2 tbsp of the brine",japanese-recipes
7,Miso ramen,"5 tbsp miso paste 2 tbsp soy sauce 2.5cm piece ginger , grated 12 shiitake mushrooms 225g smoked tofu , cut into 4 slices 2 tbsp liquid aminos or tamari 250g soba noodles 16 ears baby corn 1 tbsp vegetable oil 8 baby pak choi 200g ready-to-eat beansprouts (if they’re not labelled ready-to-eat, cook thoroughly until steaming hot throughout) 2 red chillies , finely sliced on an angle 2 spring onions , finely sliced on an angle 4 tbsp crispy seaweed 2 tbsp black sesame seeds 1 tbsp sesame oil , to finish",japanese-recipes
8,Chuka-fu shredded cabbage,"½ green cabbage or pointed cabbage, shredded as finely as you can 1 tbsp white miso 1 tbsp soy 1 tbsp mirin 1 large lime , juiced 1 tsp sesame oil 2 tbsp vegetable oil",japanese-recipes
9,Tonkatsu pork,"4 thick boneless pork loin chops 100g plain flour 2 eggs , beaten 100g panko breadcrumbs vegetable oil , for shallow frying 2 tbsp ketchup 2 tbsp Worcestershire sauce 1 tbsp oyster sauce 2 tsp caster sugar",japanese-recipes
