,name,ingredients,cuisine
0,Spiced tortilla,"1 tbsp sunflower oil 1 onion , sliced  1 red chilli , deseeded and shredded 2 tsp curry spice  (we used coriander, cumin and turmeric) 300g cherry tomato 500g cooked potato , sliced  bunch coriander , stalks finely chopped, leaves roughly chopped 8 eggs , beaten",spanish-recipes
1,Roast cod with paella & saffron olive oil,"1 tbsp olive oil 200g raw chorizo , diced 3 large shallots , thinly sliced 3 garlic cloves , crushed 2 tsp smoked sweet paprika (pimenton) 300g paella rice 1l fish stock knob of  unsalted butter 300g prawn , chopped into bite-sized pieces handful cooked, shelled mussels , plus 18 in their shells juice ½  lemon (optional) small bunch parsley , chopped 75ml extra-virgin olive oil juice ½  lemon pinch saffron threads 1 tbsp olive oil knob of  unsalted butter 6 x 175g/6oz cod fillets, skin on squeeze lemon juice",spanish-recipes
2,Churros with chocolate dipping sauce,"50g butter, melted ½ tsp vanilla extract 250g plain flour, from a new bag (essential for absorbing the liquid) 1 tsp baking powder about 1 litre sunflower oil a few chunks of bread 200g dark chocolate, not too bitter, broken into chunks 100ml double cream 100ml whole milk 3 tbsp golden syrup ½ tsp vanilla extract, if you have some 100g caster sugar 2 tsp cinnamon",spanish-recipes
3,Padron peppers,1 tbsp olive oil 500g padron peppers,spanish-recipes
4,Next level paella,"3 tbsp olive oil 10 large raw tiger prawns in their shells, heads removed and kept  small bunch of parsley, leaves and stalks separated, leaves roughly chopped  100ml dry sherry or white wine 500g mussels large pinch of saffron strands 150g cooking chorizo, cut into chunks 1 onion, finely chopped 3 garlic cloves, finely chopped 1 medium squid (about 300g), cleaned and cut into rings with tentacles intact  2 ripe tomatoes, roughly chopped 250g paella rice 100g frozen podded broad beans or peas (or a mixture  of the two), defrosted 1 lemon, finely zested then cut into wedges  smoked sea salt (optional)",spanish-recipes
5,Spanish tortilla,"1 large white onion, sliced 4 tbsp olive oil 25g butter 400g waxy potatoes, peeled, quartered and finely sliced 6 garlic cloves 8 eggs, beaten handful flat-leaf parsley, chopped, plus extra to serve 1 baguette, sliced 4 vine tomatoes, peeled and coarsely grated drizzle of olive oil",spanish-recipes
6,Easy sangria,"2 oranges , chopped 2 pears , chopped 2 lemons , 1 chopped, 1 juiced 200g red berries , chopped (we used strawberries and cherries) 3 tbsp caster sugar 1 tsp cinnamon ice 750ml bottle light red wine 100ml Spanish brandy 300ml sparkling water",spanish-recipes
7,"Pan-fried hake, white bean & chorizo broth","450g dried white beans , such as haricot or cannellini, soaked overnight in water 4 garlic cloves , 3 left whole, 1 crushed 2 bay leaves 1 tsp thyme leaf , chopped, plus extra to serve 6 tbsp olive oil 100g good  white bread , diced 100g cooking  chorizo , skinned and chopped into small chunks 1 onion , sliced 3 tsp paprika 1l chicken stock small handful  parsley , chopped 6 hake fillets, about 125g/5oz each",spanish-recipes
8,"Clam, chorizo & white bean stew","50g chorizo , diced 1 onion , finely chopped 1 garlic clove , crushed small bunch flat-leaf parsley , ½ finely chopped, ½ roughly chopped 200ml hot stock , fish or vegetable 400g can chopped tomatoes 400g can butter beans or white beans, rinsed and drained 1 tsp sherry vinegar 600g clams , cleaned crusty bread , to serve",spanish-recipes
9,Spanish chicken pie,"1kg potatoes , chopped 3 tsp paprika (use smoked paprika if you have it) 2 tsp olive oil 2 onions , sliced 2 garlic cloves , crushed 2 x 400g cans chopped tomatoes 300g cooked chicken , shredded 140g roasted pepper from a jar, sliced (we like Karyatis) handful Kalamata olives , halved",spanish-recipes
10,Arroz al horno (baked rice),"2 tbsp extra virgin olive oil , plus extra to serve 800g thick pork belly pork slices (about 8-10 slices), halved 150g black pudding , roughly chopped 100g chunky bacon lardons 1 onion , finely chopped 2 red peppers , halved, deseeded and sliced 1 plum tomato , chopped 8 garlic cloves , roughly chopped 4 tsp smoked paprika ¼-½ tsp dried chilli flakes ½ x 400g can white beans , drained (you can use haricot, butter beans or cannellini) 1.2l chicken stock 6 thyme or rosemary sprigs 375g paella rice 1 lemon , juiced (optional)",spanish-recipes
11,Spanish sardines on toast,"1 tbsp olive oil 1 garlic clove , chopped 1 red chilli , deseeded and chopped 1 lemon , zest and juice 2 x 120g cans sardines in sunflower oil, drained 4 slices brown bread half small bunch parsley , chopped",spanish-recipes
