,name,ingredients,cuisine
0,Turkish pizza with spiced pomegranate beef & feta,"500g pack  bread mix 1 tsp olive oil , plus a little extra for the dough 2 medium onions , chopped 2 garlic cloves , chopped 250g extra-lean  minced beef 2 tsp ground cumin 2 tsp ground cinnamon 1 tbsp red  chilli flakes 5 tbsp tomato purée 6 tbsp pomegranate molasses 400g pickled cherry peppers , roughly chopped 50g feta cheese , crumbled 1 tbsp pine nuts",turkish-recipes
1,Spiced lamb & feta gozleme with special tomato sauce,"7g sachet  fast-action dried yeast 1 tsp golden caster sugar 250g plain flour 2 tbsp olive oil 1 tbsp olive oil , plus extra to finish 500g pack lamb mince 2 garlic cloves , crushed 2 tsp ground cumin 2 tsp ground coriander 1 tsp ground cinnamon 1 tsp mild chilli powder 50g raisin zest 1  lemon 3 spring onions , finely sliced 50g toasted pine nut 100g feta cheese 8 tbsp tomato ketchup 2 tbsp pomegranate molasses 1 tbsp very finely chopped red onion",turkish-recipes
2,Imam bayildi with BBQ lamb & tzatziki,"3 aubergines 2 tbsp olive oil , plus extra for brushing 1 Spanish onion , finely chopped 2 garlic cloves , crushed 1 tsp cinnamon 8 ripe tomatoes , peeled small bunch flat-leaf parsley , chopped 12 lamb chops or cutlets paprika , for seasoning 1 lemon , halved 150g tub Greek yogurt ½ cucumber , seeds scooped out, grated 2 tbsp chopped mint",turkish-recipes
3,Turkish one-pan eggs & peppers (Menemen),"2 tbsp olive oil 2 onions , sliced 1 red or  green pepper , halved deseeded and sliced 1-2 red chillies , deseeded and sliced 400g can chopped tomatoes 1-2 tsp caster sugar 4 eggs small bunch parsley , roughly chopped 6 tbsp thick, creamy yogurt 2 garlic cloves , crushed",turkish-recipes
4,Grilled aubergines with spicy chickpeas & walnut sauce,"4 tbsp olive oil 1 onion , finely chopped 1 red chilli , deseeded and finely chopped 2cm piece  ginger , finely chopped ½ tsp each ground cumin , coriander and cinnamon 400g can chickpeas , rinsed and drained 200g tomatoes , chopped juice ½ lemon 2 aubergines , sliced lengthways 200g tub Greek-style yogurt 1 garlic clove , crushed 25g walnuts , chopped handful coriander leaves, roughly chopped",turkish-recipes
5,DIY kofta burgers,"1kg lamb mince 2 onions, coarsely grated 1 garlic bulb, broken into cloves and finely chopped or grated 6 tbsp garam masala bunch coriander, chopped (optional) 1 tbsp chilli sauce, plus extra to serve 8 pitta breads 4 tomatoes, halved and sliced half a red cabbage, shredded 1 red onion, sliced (optional) small pot plain yogurt",turkish-recipes
6,Hot cumin lamb wrap with crunchy slaw & spicy mayo,"4 small lamb leg steaks 2tsp olive oil 1 heaped tsp  ground cumin 1tbsp sugar 3tbsp white wine vinegar 2 carrots, coarsely grated 2 spring onions, finely sliced 400g white cabbage, very finely sliced 5 sweet peppadew peppers, 2 roughly sliced 3tbsp mayonnaise 4 large pitta or flatbreads, warmed",turkish-recipes
7,Smoked aubergine purée,"2 medium aubergines juice 1 lemon 2-3 garlic cloves , crushed 150ml pot thick yogurt small bunch dill , leaves chopped",turkish-recipes
8,"Slow-roast lamb with cinnamon, fennel & citrus","1 leg of lamb zest and juice 1 lemon and 1 orange 4 tbsp olive oil 2 tbsp clear honey 1 tbsp each of cinnamon , fennel seeds, ground cumin 3 garlic cloves , crushed",turkish-recipes
9,"Chicken wings with cumin, lemon & garlic","12 chicken wings 2 garlic cloves , crushed zest and juice 1 lemon 1 tsp cumin seed 2 tbsp olive oil 1 tbsp honey",turkish-recipes
10,Rose cream & raspberry jellies,"135g pack  raspberry jelly 500ml double cream 1 tsp rosewater 12 raspberries , halved drizzle of  clear honey small handful mint leaves 1 tbsp pistachio , chopped",turkish-recipes
11,Turkish lamb pilau,"small handful  pine nuts  or flaked almonds 1 tbsp  olive oil 1 large  onion , halved and sliced 2 cinnamon  sticks, broken in half 500g lean  lamb  neck fillet, cubed 250g basmati rice 1 lamb  or vegetable stock cube 12 ready-to-eat dried apricots handful fresh  mint  leaves, roughly chopped",turkish-recipes
12,Smoky chicken skewers,"6 boneless, skinless chicken thighs (about 500g/1lb 2oz) 2 tbsp olive oil 1 tsp fennel seed , crushed 1 tsp ground cumin 1 tsp sweet smoked paprika (pimenton) 1 garlic clove , crushed 1 tsp red wine vinegar smoky aïoli , to serve (see tips below)",turkish-recipes
